team,player,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,fd,pir
burritos,burritos-wouter,15,3,11,27.3,0,0,0,9,16,56.2,2,7,9,1,2,1,0,1,3,10,15
burritos,burritos-tom,4,1,6,16.7,0,4,0,2,2,100,1,2,3,4,3,4,0,0,1,2,8
burritos,burritos-allen,2,1,2,50,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3
burritos,burritos-alex,14,4,9,44.4,1,3,33.3,5,5,100,0,3,3,1,0,2,0,0,0,5,20
burritos,lostangels-carlotta,4,2,7,28.6,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,-4
burritos,timekeeper-naomi,2,1,2,50,0,0,0,0,0,0,0,3,3,0,1,1,0,1,0,0,3
burritos,lostangels-sophie,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2
burritos,total,42,12,38,31.6,1,7,14.3,17,25,68,4,21,25,6,10,13,0,2,6,18,52
rockets,rockets-paul,4,2,9,22.2,0,0,0,0,1,0,1,4,5,0,2,1,1,0,6,2,-3
rockets,rockets-marc,11,5,13,38.5,0,2,0,1,2,50,3,3,6,1,4,2,0,0,3,1,5
rockets,rockets-thriston,6,3,7,42.9,0,0,0,0,0,0,4,5,9,0,2,0,1,0,3,0,7
rockets,rockets-janis,1,0,8,0,0,2,0,1,2,50,2,5,7,2,7,4,0,0,1,2,-1
rockets,rockets-patricia,0,0,3,0,0,0,0,0,0,0,1,2,3,0,2,1,0,0,0,0,-1
rockets,rockets-anna,2,1,1,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3
rockets,rockets-alex,0,0,2,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,3,0,-5
rockets,rockets-malachi,3,1,2,50,0,0,0,1,2,50,1,2,3,0,1,0,0,0,1,1,3
rockets,total,27,12,45,26.7,0,5,0,3,7,42.9,13,24,37,3,19,8,2,0,18,6,9
