team,player,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,fd,pir
burritos,burritos-stuart,10,3,9,33.3,3,6,50,1,4,25,3,8,11,2,5,3,0,1,2,4,13
burritos,burritos-suzi,2,1,7,14.3,0,3,0,0,0,0,1,1,2,0,3,2,0,0,0,2,-1
burritos,burritos-sylwia,4,2,7,28.6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
burritos,burritos-alex,23,10,14,71.4,3,5,60,0,0,0,1,7,8,3,2,0,0,0,2,2,28
burritos,burritos-armelle,6,3,5,60,0,0,0,0,0,0,1,0,1,1,2,1,0,0,1,0,4
burritos,burritos-allen,4,1,7,14.3,0,3,0,2,2,100,0,3,3,6,2,0,0,0,0,1,6
burritos,burritos,49,20,49,40.8,6,17,35.3,3,6,50,7,26,33,12,14,6,0,1,5,9,57
greenmachine,greenmachine-alex,7,3,8,37.5,0,0,0,1,2,50,1,8,9,2,4,1,1,0,3,2,9
greenmachine,greenmachine-itai,22,10,16,62.5,1,3,33.3,1,3,33.3,1,3,4,1,0,4,0,0,2,2,23
greenmachine,greenmachine-iestyn,12,6,13,46.2,0,1,0,0,2,0,2,4,6,3,3,2,0,0,0,1,12
greenmachine,greenmachine-ahmed,6,2,11,18.2,2,5,40,0,0,0,3,5,8,2,3,1,0,0,1,0,4
greenmachine,greenmachine-marina,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,-4
greenmachine,greenmachine-kelli,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,1,0,2
greenmachine,greenmachine-allison,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1
greenmachine,greenmachine-victoria,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,-2
greenmachine,greenmachine,47,21,55,38.2,3,10,30,2,7,28.6,11,23,34,10,12,10,1,0,9,5,47
