id,team_id,player_id
bbcballers-bbcballers-alexandra,bbcballers,bbcballers-alexandra
bbcballers-bbcballers-arthur,bbcballers,bbcballers-arthur
bbcballers-bbcballers-james,bbcballers,bbcballers-james
bbcballers-bbcballers-lisa,bbcballers,bbcballers-lisa
bbcballers-bbcballers-nathan,bbcballers,bbcballers-nathan
bbcballers-bbcballers-saulius,bbcballers,bbcballers-saulius
bbcballers-bbcballers-suhail,bbcballers,bbcballers-suhail
burritos-burritos-alex,burritos,burritos-alex
burritos-burritos-allen,burritos,burritos-allen
burritos-burritos-armelle,burritos,burritos-armelle
burritos-burritos-stuart,burritos,burritos-stuart
burritos-burritos-suzi,burritos,burritos-suzi
burritos-burritos-sylwia,burritos,burritos-sylwia
burritos-burritos-tom,burritos,burritos-tom
burritos-burritos-wouter,burritos,burritos-wouter
camdenhells-camdenhells-amy,camdenhells,camdenhells-amy
camdenhells-camdenhells-davidgalindo,camdenhells,camdenhells-davidgalindo
camdenhells-camdenhells-lauren,camdenhells,camdenhells-lauren
camdenhells-camdenhells-levent,camdenhells,camdenhells-levent
camdenhells-camdenhells-sean,camdenhells,camdenhells-sean
camdenhells-lostangels-sophie,camdenhells,lostangels-sophie
camdenhells-rockets-anna,camdenhells,rockets-anna
camdenhells-rockets-malachi,camdenhells,rockets-malachi
dropbears-dropbears-ed,dropbears,dropbears-ed
dropbears-dropbears-hayley,dropbears,dropbears-hayley
dropbears-dropbears-martin,dropbears,dropbears-martin
dropbears-dropbears-mary,dropbears,dropbears-mary
dropbears-dropbears-p2,dropbears,dropbears-p2
dropbears-dropbears-ray,dropbears,dropbears-ray
greenmachine-greenmachine-ahmed,greenmachine,greenmachine-ahmed
greenmachine-greenmachine-alex,greenmachine,greenmachine-alex
greenmachine-greenmachine-allison,greenmachine,greenmachine-allison
greenmachine-greenmachine-andris,greenmachine,greenmachine-andris
greenmachine-greenmachine-david,greenmachine,greenmachine-david
greenmachine-greenmachine-iestyn,greenmachine,greenmachine-iestyn
greenmachine-greenmachine-itai,greenmachine,greenmachine-itai
greenmachine-greenmachine-kelli,greenmachine,greenmachine-kelli
greenmachine-greenmachine-marina,greenmachine,greenmachine-marina
greenmachine-greenmachine-sergio,greenmachine,greenmachine-sergio
greenmachine-greenmachine-victoria,greenmachine,greenmachine-victoria
lions-lions-chris,lions,lions-chris
lions-lions-diego,lions,lions-diego
lions-lions-foley,lions,lions-foley
lions-lions-gus,lions,lions-gus
lions-lions-kata,lions,lions-kata
lions-lions-mychelle,lions,lions-mychelle
lions-lions-obi,lions,lions-obi
lions-lions-saulius,lions,lions-saulius
lions-lions-telle,lions,lions-telle
lostangels-lostangels-aldis,lostangels,lostangels-aldis
lostangels-lostangels-carlos,lostangels,lostangels-carlos
lostangels-lostangels-carlotta,lostangels,lostangels-carlotta
lostangels-lostangels-daria,lostangels,lostangels-daria
lostangels-lostangels-jazeps,lostangels,lostangels-jazeps
lostangels-lostangels-john,lostangels,lostangels-john
lostangels-lostangels-rob,lostangels,lostangels-rob
lostangels-lostangels-rolands,lostangels,lostangels-rolands
lostangels-lostangels-sophie,lostangels,lostangels-sophie
rockets-rockets-alex,rockets,rockets-alex
rockets-rockets-anna,rockets,rockets-anna
rockets-rockets-darnell,rockets,rockets-darnell
rockets-rockets-janis,rockets,rockets-janis
rockets-rockets-malachi,rockets,rockets-malachi
rockets-rockets-marc,rockets,rockets-marc
rockets-rockets-patricia,rockets,rockets-patricia
rockets-rockets-paul,rockets,rockets-paul
rockets-rockets-thriston,rockets,rockets-thriston
