game_id,scheduled_time,team,player,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,tov,stl,blk,pf
20190926-1930-camdenhells-bbcballers,2019-09-26 19:30:00,bbcballers,bbcballers-arthur,9,4,17,23.5294117647059,1,7,14.2857142857143,0,0,,0,0,0,2,1,0,0,1
20190926-1930-camdenhells-bbcballers,2019-09-26 19:30:00,bbcballers,lions-mychelle,5,2,14,14.2857142857143,0,2,0.0,1,2,0,3,5,8,0,2,2,1,1
20190926-1930-camdenhells-bbcballers,2019-09-26 19:30:00,bbcballers,bbcballers-james,4,1,5,20.0,1,2,50.0,1,2,0,2,4,6,0,2,0,0,1
20190926-1930-camdenhells-bbcballers,2019-09-26 19:30:00,bbcballers,bbcballers-lisa,4,2,13,15.3846153846154,0,0,,0,2,0,1,2,3,0,3,1,0,0
20190926-1930-camdenhells-bbcballers,2019-09-26 19:30:00,bbcballers,kissmygrass-steph,2,1,6,16.6666666666667,0,0,,0,0,,2,2,4,0,0,0,0,0
20190926-1930-camdenhells-bbcballers,2019-09-26 19:30:00,bbcballers,bbcballers-suhail,0,0,3,0.0,0,1,0.0,0,0,,3,8,11,0,3,1,0,2
20190926-1930-camdenhells-bbcballers,2019-09-26 19:30:00,camdenhells,rockets-malachi,20,10,19,52.6315789473684,0,0,,0,3,0,8,22,30,2,3,3,5,3
20190926-1930-camdenhells-bbcballers,2019-09-26 19:30:00,camdenhells,camdenhells-levent,14,6,15,40.0,1,4,25.0,1,2,0,1,1,2,3,5,2,0,1
20190926-1930-camdenhells-bbcballers,2019-09-26 19:30:00,camdenhells,camdenhells-davidgalindo,5,2,9,22.2222222222222,0,1,0.0,1,2,0,4,7,11,3,3,2,1,0
20190926-1930-camdenhells-bbcballers,2019-09-26 19:30:00,camdenhells,camdenhells-amy,4,2,4,50.0,0,0,,0,0,,1,1,2,0,1,0,0,1
20190926-1930-camdenhells-bbcballers,2019-09-26 19:30:00,camdenhells,camdenhells-lauren,2,1,7,14.2857142857143,0,0,,0,0,,0,2,2,1,0,0,0,2
20190926-1930-camdenhells-bbcballers,2019-09-26 19:30:00,camdenhells,rockets-anna,2,1,5,20.0,0,0,,0,0,,2,1,3,1,0,1,1,1
