id,team_id,player_id
dropbears-dropbears-ed,dropbears,dropbears-ed
dropbears-dropbears-martin,dropbears,dropbears-martin
dropbears-dropbears-mary,dropbears,dropbears-mary
dropbears-dropbears-p2,dropbears,dropbears-p2
dropbears-dropbears-ray,dropbears,dropbears-ray
dropbears-dropbears-hayley,dropbears,dropbears-hayley
bbcballers-bbcballers-alexandra,bbcballers,bbcballers-alexandra
bbcballers-bbcballers-arthur,bbcballers,bbcballers-arthur
bbcballers-bbcballers-james,bbcballers,bbcballers-james
bbcballers-bbcballers-lisa,bbcballers,bbcballers-lisa
bbcballers-bbcballers-nathan,bbcballers,bbcballers-nathan
bbcballers-bbcballers-saulius,bbcballers,bbcballers-saulius
bbcballers-bbcballers-suhail,bbcballers,bbcballers-suhail
