season_id,game_id,side_id,team_id,opp_team_id,fgm,fga,threeptm,threepta,ftm,fta,pts,oreb,dreb,reb,ast,stl,tov,blk,fc,twoptm,twopta,opp_twoptm,opp_twopta,fd,blka,opp_fd,opp_fc,opp_blk,opp_blka,outcome,opp_fgm,opp_fga,opp_threeptm,opp_threepta,opp_ftm,opp_fta,opp_pts,opp_oreb,opp_dreb,opp_reb,opp_ast,opp_stl,opp_tov,pir,opp_pir,num_players,opp_num_players
24,20190801-1845-greenmachine-lions,0,greenmachine,lions,18,47,1,4,1,6,38,2,26,28,10,11,22,4,6,17,43,11,40,10,0,6,10,0,4,d,16,54,5,14,5,12,42,10,26,36,11,16,19,29,31,7,6
24,20190801-1845-greenmachine-lions,1,lions,greenmachine,16,54,5,14,5,12,42,10,26,36,11,16,19,0,10,11,40,17,43,6,4,10,6,4,0,w,18,47,1,4,1,6,38,2,26,28,10,11,22,31,29,6,7
24,20190801-1930-dropbears-lostangels,0,dropbears,lostangels,8,45,3,12,3,4,22,9,17,26,2,4,10,3,12,5,33,17,44,7,6,12,7,6,3,d,20,54,3,10,5,8,48,14,23,37,11,4,8,-3,54,,7
24,20190801-1930-dropbears-lostangels,1,lostangels,dropbears,20,54,3,10,5,8,48,14,23,37,11,4,8,6,7,17,44,5,33,12,3,7,12,3,6,w,8,45,3,12,3,4,22,9,17,26,2,4,10,54,-3,7,
24,20190801-2015-camdenhells-rockets,0,camdenhells,rockets,15,40,0,6,6,8,36,7,19,26,5,4,10,0,5,15,34,12,42,9,1,5,9,1,0,w,12,46,0,4,5,9,29,13,17,30,3,10,18,29,8,8,7
24,20190801-2015-camdenhells-rockets,1,rockets,camdenhells,12,46,0,4,5,9,29,13,17,30,3,10,18,1,9,12,42,15,34,5,0,9,5,0,1,d,15,40,0,6,6,8,36,7,19,26,5,4,10,8,29,7,8
24,20190801-2100-bbcballers-burritos,0,bbcballers,burritos,7,43,3,20,1,2,18,5,12,17,3,5,15,1,2,4,23,26,55,1,1,2,1,1,1,d,26,66,0,11,2,4,54,10,37,47,13,13,13,-10,72,,6
24,20190801-2100-bbcballers-burritos,1,burritos,bbcballers,26,66,0,11,2,4,54,10,37,47,13,13,13,1,1,26,55,4,23,2,1,1,2,1,1,w,7,43,3,20,1,2,18,5,12,17,3,5,15,72,-10,6,
24,20190808-1930-bbcballers-camdenhells,0,bbcballers,camdenhells,11,50,5,14,0,0,27,6,18,24,3,7,13,1,9,6,36,23,54,1,0,9,1,0,1,d,23,58,0,4,4,15,50,18,24,42,8,9,10,1,52,7,
24,20190808-1930-bbcballers-camdenhells,1,camdenhells,bbcballers,23,58,0,4,4,15,50,18,24,42,8,9,10,0,1,23,54,6,36,9,1,1,9,1,0,w,11,50,5,14,0,0,27,6,18,24,3,7,13,52,1,,7
24,20190808-2015-greenmachine-rockets,0,greenmachine,rockets,9,35,2,11,4,10,24,3,6,9,2,7,8,4,7,7,24,22,50,7,3,7,7,3,4,d,22,52,0,2,7,13,51,15,21,36,12,9,11,-1,57,,7
