team,player,3fga,3fgm,3fg%,2fga,2fgm,2fg%,fga,fgm,fg%,fta,ftm,ft%,pts,orb,drb,treb,ast,blk,to,stl,fol,a!,eff,tim
lostangels,lostangels-aldis,4,0,0%,2,0,0%,6,0,0%,0,0,0%,0,1,3,4,2,0,4,0,0,0,-4,17:00
lostangels,lostangels-carlos,0,0,0%,4,2,50%,4,2,50%,4,2,50%,6,3,5,8,1,0,2,1,0,0,10,14:45
lostangels,saturdays-claire,0,0,0%,7,3,43%,7,3,43%,0,0,0%,6,0,1,1,0,0,1,0,0,0,2,11:05
lostangels,lostangels-daria,6,1,17%,1,1,100%,7,2,29%,0,0,0%,5,1,2,3,0,0,1,0,0,0,2,20:21
lostangels,lostangels-jazeps,1,0,0%,2,1,50%,3,1,33%,0,0,0%,2,1,2,3,0,1,3,2,2,0,3,16:29
lostangels,lostangels-rob,0,0,0%,11,4,36%,11,4,36%,4,2,50%,10,1,7,8,1,1,1,0,3,0,10,19:16
lostangels,lostangels-rolands,0,0,0%,1,1,100%,1,1,100%,0,0,0%,2,0,1,1,4,2,2,0,2,0,7,10:00
lostangels,lostangels-sophie,0,0,0%,6,1,17%,6,1,17%,0,0,0%,2,1,3,4,0,1,1,0,1,0,1,20:14
lostangels,lostangels,11,1,9%,34,13,38%,45,14,31%,8,4,50%,33,8,24,32,8,5,15,3,8,0,31,29:06:00
dropbears,dropbears,13,6,46%,31,9,29%,44,15,34%,9,6,67%,42,4,10,14,4,2,6,6,7,0,30,29:06:00
