season_id,game_id,side_id,team_id,opp_team_id,poss,opp_poss,pts,opp_pts,passes,opp_passes,dribbles,opp_dribbles,second_chance_pts,opp_second_chance_pts,pts_off_tov,opp_pts_off_tov,oreb,opp_oreb,true_fga,opp_true_fga,true_threepta,opp_true_threepta,fta,opp_fta,players_involved,opp_players_involved,poss_with_tfga,opp_poss_with_tfga,avg_passes,avg_passes_with_tfga,avg_players_involved,avg_players_involved_with_tfga,opp_avg_passes,opp_avg_passes_tfga,opp_avg_players_involved,opp_avg_players_involved_with_tfga,avg_pts_with_1p,avg_pts_with_2p,avg_pts_with_3p,avg_pts_with_4p,avg_pts_with_5p
25,20191024-1845-lions-lostangels,0,lions,lostangels,66,65,33,61,151,170,133,101,7,13,7,19,10,10,65,61,22,7,6,5,187,193,55,52,2.287878787878788,2.4,2.8333333333333335,2.9454545454545453,2.6153846153846154,2.75,2.9692307692307693,3.019230769230769,0.6190476190476191,0.6341463414634146,0.6538461538461539,0.5333333333333333,0.0
25,20191024-1845-lions-lostangels,1,lostangels,lions,65,66,61,33,170,151,101,133,13,7,19,7,10,10,61,65,7,22,5,6,193,187,52,55,2.6153846153846154,2.75,2.9692307692307693,3.019230769230769,2.287878787878788,2.4,2.8333333333333335,2.9454545454545453,1.0,1.0,1.1428571428571428,1.1428571428571428,0.3333333333333333
25,20191024-1930-greenmachine-northlondonlions,0,greenmachine,northlondonlions,58,58,42,57,106,90,93,74,9,19,11,19,10,14,51,63,10,27,10,5,143,133,43,50,1.8275862068965518,2.1627906976744184,2.4655172413793105,2.7209302325581395,1.5517241379310345,1.74,2.293103448275862,2.48,0.9117647058823529,0.9642857142857143,0.9523809523809523,1.1428571428571428,nan
25,20191024-1930-greenmachine-northlondonlions,1,northlondonlions,greenmachine,58,58,57,42,90,106,74,93,19,9,19,11,14,10,63,51,27,10,5,10,133,143,50,43,1.5517241379310345,1.74,2.293103448275862,2.48,1.8275862068965518,2.1627906976744184,2.4655172413793105,2.7209302325581395,1.0857142857142856,1.1724137931034482,1.411764705882353,1.8571428571428572,0.0
25,20191031-1845-hotshots-camdenhells,0,hotshots,camdenhells,54,53,37,58,73,132,83,72,4,15,3,12,5,23,47,71,10,5,12,19,116,151,42,49,1.3518518518518519,1.4285714285714286,2.1481481481481484,2.1666666666666665,2.490566037735849,2.5918367346938775,2.849056603773585,2.8979591836734695,0.8717948717948718,0.8333333333333334,1.0,0.8333333333333334,nan
25,20191031-1845-hotshots-camdenhells,1,camdenhells,hotshots,53,54,58,37,132,73,72,83,15,4,12,3,23,5,71,47,5,10,19,12,151,116,49,42,2.490566037735849,2.5918367346938775,2.849056603773585,2.8979591836734695,1.3518518518518519,1.4285714285714286,2.1481481481481484,2.1666666666666665,1.2105263157894737,1.1944444444444444,1.08,1.7142857142857142,2.0
25,20191031-1930-greenmachine-burritos,0,greenmachine,burritos,60,59,27,47,139,150,102,109,11,9,9,19,10,13,47,60,16,18,3,13,160,170,39,49,2.316666666666667,2.5384615384615383,2.6666666666666665,2.7948717948717947,2.542372881355932,2.693877551020408,2.8813559322033897,3.0,0.5806451612903226,0.6428571428571429,0.3684210526315789,0.0,nan
25,20191031-1930-greenmachine-burritos,1,burritos,greenmachine,59,60,47,27,150,139,109,102,9,11,19,9,13,10,60,47,18,16,13,3,170,160,49,39,2.542372881355932,2.693877551020408,2.8813559322033897,3.0,2.316666666666667,2.5384615384615383,2.6666666666666665,2.7948717948717947,0.9310344827586207,0.9310344827586207,0.85,0.8333333333333334,nan
25,20191031-2015-lostangels-northlondonlions,0,lostangels,northlondonlions,61,61,55,59,202,104,89,87,15,13,11,13,15,11,62,56,13,24,9,8,191,142,46,47,3.3114754098360657,3.739130434782609,3.1311475409836067,3.3260869565217392,1.7049180327868851,1.851063829787234,2.3278688524590163,2.425531914893617,1.2222222222222223,1.2,1.3571428571428572,1.3529411764705883,1.3333333333333333
25,20191031-2015-lostangels-northlondonlions,1,northlondonlions,lostangels,61,61,59,55,104,202,87,89,13,15,13,11,11,15,56,62,24,13,8,9,142,191,47,46,1.7049180327868851,1.851063829787234,2.3278688524590163,2.425531914893617,3.3114754098360657,3.739130434782609,3.1311475409836067,3.3260869565217392,1.2105263157894737,1.1515151515151516,1.1111111111111112,1.75,1.5
25,20191031-2100-lions-rockets,0,lions,rockets,54,54,38,49,123,88,106,92,5,17,13,10,5,13,43,51,13,3,8,23,146,124,39,38,2.2777777777777777,2.6923076923076925,2.7037037037037037,2.9743589743589745,1.6296296296296295,1.9473684210526316,2.2962962962962963,2.526315789473684,0.9615384615384616,1.0416666666666667,1.0588235294117647,1.0,0.0
25,20191031-2100-lions-rockets,1,rockets,lions,54,54,49,38,88,123,92,106,17,5,10,13,13,5,51,43,3,13,23,8,124,146,38,39,1.6296296296296295,1.9473684210526316,2.2962962962962963,2.526315789473684,2.2777777777777777,2.6923076923076925,2.7037037037037037,2.9743589743589745,1.3448275862068966,1.36,1.6666666666666667,1.6666666666666667,2.0
25,20191107-1845-lions-camdenhells,0,lions,camdenhells,59,60,31,34,132,191,107,112,3,9,10,12,4,16,46,61,19,4,3,20,156,197,43,46,2.23728813559322,2.5348837209302326,2.6440677966101696,2.7906976744186047,3.183333333333333,3.5217391304347827,3.283333333333333,3.5217391304347827,0.6363636363636364,0.6363636363636364,0.7142857142857143,0.5555555555555556,0.0
