team_name,player_id,player_gender,player_name,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,fd,pir
Camden Hells,,,,34,15,54,27.8,1,18,5.6,3,4,75.0,5,20,25,8,6,5,4,0,3,0,27
Camden Hells,camdenhells-sean,m,Sean,8,3,6,50.0,0,0,0,2,2,100.0,0,1,1,2,1,1,0,0,1,0,7
Camden Hells,kissmygrass-steph,f,Steph-Kansas,2,1,4,25.0,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2
Camden Hells,lostangels-rob,m,Rob,15,7,20,35.0,0,6,0,1,2,50.0,1,4,5,0,2,1,1,0,1,0,5
Camden Hells,greenmachine-ahmed,m,Ahmed,5,2,13,15.4,1,8,12.5,0,0,0,1,7,8,2,2,1,3,0,1,0,5
Camden Hells,camdenhells-jess,f,Jess,0,0,4,0,0,2,0,0,0,0,1,1,2,2,1,1,0,0,0,0,0
Camden Hells,lions-kata,f,Kata,4,2,6,33.3,0,1,0,0,0,0,1,3,4,0,0,1,0,0,0,0,5
Camden Hells,greenmachine-basil,m,Basil,0,0,1,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,3
Lost Angels,,,,56,23,56,41.1,7,26,26.9,3,3,100.0,9,28,37,17,8,2,3,0,5,0,69
Lost Angels,lostangels-aldis,m,Aldis,17,7,20,35.0,3,11,27.3,0,0,0,2,9,11,4,3,0,0,0,2,0,14
Lost Angels,lostangels-daria,f,Daria,9,3,9,33.3,3,9,33.3,0,0,0,0,3,3,1,0,1,0,0,0,0,8
Lost Angels,lostangels-jazeps,m,Jazeps,14,7,14,50.0,0,2,0,0,0,0,2,2,4,5,2,0,0,0,0,0,14
Lost Angels,lostangels-rolands,m,Rolands,10,3,7,42.9,1,2,50.0,3,3,100.0,4,11,15,4,2,1,2,0,3,0,23
Lost Angels,lostangels-sophie,f,Sophie,6,3,6,50.0,0,2,0,0,0,0,1,3,4,3,1,0,1,0,0,0,10
