team_name,player_id,player_gender,player_name,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,fd,pir,+/-,min,reb +/-,ast +/-,stl +/-,tov +/-,fc +/-
Lions,,,,33,14,62,22.6,4,22,18.2,1,6,16.7,10,21,31,9,10,9,0,2,7,4,14,,,,,,,
Lions,lions-diego,m,Diego,6,3,7,42.9,0,0,0,0,0,0,3,5,8,4,1,4,0,0,1,1,17,-26,32:08,-21,-8,4,-4,2
Lions,lions-foley,m,Foley,7,3,12,25.0,1,6,16.7,0,0,0,1,4,5,1,5,1,0,0,1,0,-1,-23,24:18,-18,-5,-1,-2,4
Lions,lions-telle,f,Telle,1,0,4,0,0,0,0,1,2,50.0,1,0,1,0,0,0,0,0,0,1,-2,-27,23:51,-19,-7,-2,0,4
Lions,lions-kata,f,Kata,6,3,12,25.0,0,2,0,0,2,0,2,1,3,1,0,1,0,2,1,1,-2,-16,21:48,-12,-7,3,-3,-3
Lions,greenmachine-andris,m,Andris,0,0,6,0,0,0,0,0,0,0,1,2,3,0,3,0,0,0,1,0,-7,-19,20:26,-8,-5,0,2,1
Lions,lions-rashid,m,Rashid,2,1,9,11.1,0,6,0,0,0,0,0,4,4,2,1,1,0,0,0,0,0,-16,25:08,-16,-6,6,-5,-1
Lions,lions-mychelle,f,Mychelle,11,4,12,33.3,3,8,37.5,0,2,0,2,1,3,1,0,2,0,0,2,1,6,-13,22:20,-11,-2,5,-3,3
Lost Angels,,,,61,29,59,49.2,0,7,0,3,5,60.0,10,41,51,17,14,6,2,0,4,7,94,,,,,,,
Lost Angels,kissmygrass-steph,f,Steph-Kansas,2,1,5,20.0,0,1,0,0,0,0,3,4,7,1,2,1,1,0,1,1,6,28,34:00,21,8,-3,3,-2
Lost Angels,lostangels-carlos,m,Carlos,17,8,12,66.7,0,0,0,1,3,33.3,2,11,13,2,2,0,1,0,1,2,26,28,34:00,21,8,-3,3,-2
Lost Angels,lostangels-rob,m,Rob,22,11,19,57.9,0,1,0,0,0,0,2,19,21,2,6,0,0,0,0,1,32,28,34:00,21,8,-3,3,-2
Lost Angels,lostangels-daria,f,Daria,10,4,8,50.0,0,2,0,2,2,100.0,0,1,1,3,0,1,0,0,0,2,13,28,34:00,21,8,-3,3,-2
Lost Angels,lostangels-jazeps,m,Jazeps,10,5,15,33.3,0,3,0,0,0,0,1,5,6,9,3,4,0,0,2,1,15,28,34:00,21,8,-3,3,-2
