team_name,player_id,player_gender,player_name,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,fd,pir,+/-,min
Camden Hells,,,,29,11,31,35.5,1,7,14.3,6,15,40.0,4,19,23,7,20,5,1,0,14,16,18,,
Camden Hells,kissmygrass-steph,f,Steph-Kansas,0,0,1,0,0,1,0,0,0,0,0,2,2,1,2,1,0,0,1,1,1,-17,27:01
Camden Hells,lostangels-rob,m,Rob,12,6,7,85.7,0,0,0,0,0,0,0,4,4,2,2,0,0,0,3,1,13,-17,30:29
Camden Hells,rockets-malachi,m,Malachi,4,1,6,16.7,0,0,0,2,7,28.6,2,8,10,1,7,0,1,0,3,6,2,-17,31:50
Camden Hells,camdenhells-jess,f,Jess,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,-1,-14,21:47
Camden Hells,camdenhells-davidgalindo,m,David Galindo,7,2,8,25.0,1,3,33.3,2,2,100.0,0,1,1,2,2,2,0,0,0,2,6,-10,24:55
Camden Hells,lions-kata,f,Kata,5,2,6,33.3,0,1,0,1,2,50.0,0,0,0,0,2,1,0,0,4,1,-4,-4,16:43
Camden Hells,greenmachine-ahmed,m,Ahmed,1,0,3,0,0,2,0,1,4,25.0,0,3,3,0,2,1,0,0,3,3,-3,-21,16:49
Rockets,,,,49,19,45,42.2,4,8,50.0,7,14,50.0,11,19,30,11,13,16,0,1,16,14,57,,
Rockets,rockets-thriston,m,Thriston,6,3,6,50.0,0,0,0,0,0,0,4,2,6,2,2,3,0,0,2,0,10,20,21:44
Rockets,lostangels-daria,f,Daria,9,3,6,50.0,3,5,60.0,0,0,0,0,0,0,0,0,2,0,1,0,0,7,21,22:45
Rockets,rockets-patricia,f,Patricia,4,2,3,66.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,13,23:50
Rockets,rockets-marc,m,Marc,7,2,7,28.6,0,1,0,3,7,42.9,0,3,3,2,4,5,0,0,6,7,5,22,25:44
Rockets,rockets-paul,m,Paul,7,3,4,75.0,0,1,0,1,2,50.0,2,2,4,1,1,2,0,0,3,1,9,10,18:59
Rockets,rockets-alex,m,AlexCast,3,1,6,16.7,1,1,100.0,0,0,0,1,4,5,4,1,1,0,0,1,0,6,5,18:24
Rockets,rockets-darnell,m,Darnell,6,3,5,60.0,0,0,0,0,1,0,3,3,6,1,3,0,0,0,1,3,9,5,17:10
Rockets,ringers-yinka,f,Yinka,7,2,8,25.0,0,0,0,3,4,75.0,1,2,3,1,1,3,0,0,1,3,8,4,20:46
