team_name,player_id,player_gender,player_name,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,fd,pir,+/-,min,reb +/-,ast +/-,stl +/-,tov +/-,fc +/-
North L Lions,,,,52,17,49,34.7,6,20,30.0,12,18,66.7,14,19,33,10,14,7,3,1,19,19,52,,,,,,,
North L Lions,northlondonlions-tanky,m,Tanky,20,7,13,53.8,4,6,66.7,2,3,66.7,1,5,6,1,0,0,0,0,1,3,22,0,25:28,8,-1,-2,1,-4
North L Lions,northlondonlions-banksy,f,Banksy,0,0,2,0,0,2,0,0,0,0,0,0,0,1,2,1,0,0,1,0,-3,-3,14:12,5,0,-4,5,-5
North L Lions,northlondonlions-kylie,f,Kylie,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2,-2,16:50,1,0,-3,1,0
North L Lions,northlondonlions-kat,f,Kitty-Kat,2,1,3,33.3,0,2,0,0,0,0,1,0,1,0,1,2,0,0,0,1,3,-5,17:12,-2,-2,0,-2,-2
North L Lions,northlondonlions-boma,m,Boma,16,4,16,25.0,2,6,33.3,6,8,75.0,6,3,9,0,3,1,2,0,3,5,13,-5,26:27,0,-3,-2,2,-5
North L Lions,northlondonlions-tom,m,Tom NLL,5,1,3,33.3,0,0,0,3,4,75.0,2,5,7,1,3,1,0,0,2,3,9,-2,19:13,7,-1,-2,0,-2
North L Lions,northlondonlions-zoey,f,Zoe,4,2,2,100.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,4,19:47,4,0,1,0,3
North L Lions,northlondonlions-kenny,m,Kenny,4,2,5,40.0,0,2,0,0,1,0,1,3,4,6,1,1,0,0,5,4,9,6,17:15,-2,1,1,-2,0
North L Lions,northlondonlions-mikey,m,Mikey,1,0,4,0,0,2,0,1,2,50.0,1,2,3,1,2,0,1,0,3,2,-2,-8,13:40,-1,1,-4,5,5
Lions,,,,55,20,46,43.5,1,11,9.1,14,23,60.9,11,22,33,11,11,9,1,3,19,19,60,,,,,,,
Lions,lions-foley,m,Foley,9,1,6,16.7,0,4,0,7,10,70.0,1,4,5,0,2,0,1,0,5,8,8,3,29:37,-2,-1,3,-3,-1
Lions,lions-gus,m,Gus,4,2,2,100.0,0,0,0,0,2,0,2,3,5,1,0,0,0,0,5,1,4,2,28:01,-1,2,2,1,5
Lions,lions-kata,f,Kata,10,4,9,44.4,0,0,0,2,2,100.0,2,1,3,5,1,1,0,1,4,3,11,3,34:00,-4,1,3,-2,2
Lions,lions-mychelle,f,Mychelle,11,5,13,38.5,0,1,0,1,3,33.3,2,4,6,0,2,1,0,1,2,4,7,3,34:00,-4,1,3,-2,2
Lions,greenmachine-andris,m,Andris,0,0,0,0,0,0,0,0,0,0,0,1,1,5,2,2,0,0,2,0,4,-1,21:05,-5,0,0,-1,-1
Lions,lions-ring-jamal,m,Jamal,21,8,16,50.0,1,6,16.7,4,6,66.7,2,4,6,0,4,5,0,1,1,3,19,5,31:04,-4,2,4,-3,3
