team_name,player_id,player_gender,player_name,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,fd,pir,+/-,min,reb +/-,ast +/-,stl +/-,tov +/-,fc +/-
Hot Shots,,,,42,17,46,37.0,2,9,22.2,6,11,54.5,8,27,35,10,16,6,1,5,12,11,38,,,,,,,
Hot Shots,hotshots-sharad,m,Sharad,0,0,2,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,-4,2,16:36,-1,0,-3,2,1
Hot Shots,imports-dan,m,Dan,8,3,11,27.3,0,1,0,2,4,50.0,2,19,21,2,3,3,1,1,5,3,19,-2,33:11,-1,1,-3,5,1
Hot Shots,hotshots-bernard,m,Bernard,14,7,12,58.3,0,0,0,0,0,0,1,0,1,2,2,2,0,2,1,1,10,0,20:08,-1,3,-2,4,5
Hot Shots,saturdays-claire,f,Claire,3,1,8,12.5,1,4,25.0,0,0,0,2,0,2,3,1,1,0,0,3,0,-2,-2,33:34,0,1,-3,6,1
Hot Shots,lions-kata,f,Kata,2,1,2,50.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-1,-7,26:26,-3,1,-3,5,0
Hot Shots,lions-mychelle,f,Mychelle,2,1,2,50.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,08:02,3,0,0,1,1
Hot Shots,lostangels-rob,m,Rob,4,1,3,33.3,0,0,0,2,2,100.0,0,3,3,0,1,0,0,0,2,1,3,-2,16:00,0,1,1,2,0
Hot Shots,rockets-darnell,m,Darnell,9,3,6,50.0,1,3,33.3,2,5,40.0,0,2,2,3,6,0,0,0,1,5,6,-4,16:07,3,-2,-2,5,-4
Lost Angels,,,,44,16,49,32.7,1,10,10.0,11,16,68.8,8,24,32,9,10,9,5,1,11,12,51,,,,,,,
Lost Angels,lostangels-aldis,m,Aldis,2,0,4,0,0,3,0,2,2,100.0,0,2,2,0,3,1,0,0,2,1,-3,1,14:40,-1,-3,0,-3,-1
Lost Angels,lostangels-carlos,m,Carlos,24,9,13,69.2,0,0,0,6,8,75.0,3,3,6,2,1,1,1,0,2,7,32,3,30:38,-1,0,2,-6,0
Lost Angels,lostangels-carlotta,f,Carlotta,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-6,3,22:41,-2,1,3,-5,3
Lost Angels,lostangels-daria,f,Daria,3,1,3,33.3,1,2,50.0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,7,22:18,2,1,2,-5,-2
Lost Angels,lostangels-jazeps,m,Jazeps,7,3,12,25.0,0,3,0,1,2,50.0,2,6,8,3,2,5,1,0,0,1,13,3,28:32,-1,-1,4,-6,-1
Lost Angels,lostangels-rolands,m,Rolands,4,2,7,28.6,0,2,0,0,0,0,0,5,5,3,2,2,3,0,5,1,6,1,27:21,3,1,3,-4,-1
Lost Angels,lostangels-sophie,f,Sophie,4,1,4,25.0,0,0,0,2,4,50.0,1,7,8,0,1,0,0,1,1,2,6,-8,23:49,0,-4,1,-1,-3
