team_name,player_id,player_gender,player_name,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,fd,pir,+/-,min,reb +/-,ast +/-,stl +/-,tov +/-,fc +/-
Burritos,,,,54,23,52,44.2,4,11,36.4,4,7,57.1,8,25,33,10,12,9,0,3,8,6,57,,,,,,,
Burritos,burritos-alex,m,AlexConn,13,5,10,50.0,1,1,100.0,2,3,66.7,2,7,9,1,1,0,0,0,1,2,17,11,22:01,-1,-6,1,-2,-1
Burritos,burritos-armelle,f,Armelle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0
Burritos,burritos-suzi,f,Suzi,2,1,4,25.0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,-2,7,24:29,-1,-7,0,2,3
Burritos,burritos-sylwia,f,Sylwia,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-3,3,19:24,-7,-4,4,-2,0
Burritos,burritos-tom,m,Tom,10,4,8,50.0,2,3,66.7,0,0,0,1,7,8,2,3,2,0,0,0,1,16,11,33:59,-7,-8,3,-1,3
Burritos,burritos-wouter,m,Wouter,22,10,15,66.7,0,2,0,2,4,50.0,2,7,9,1,4,4,0,0,4,3,24,11,33:42,-7,-8,3,-1,3
Burritos,dropbears-mary,f,Mary,3,1,7,14.3,1,5,20.0,0,0,0,0,0,0,1,3,2,0,0,0,0,-3,12,24:05,-6,-5,2,-2,3
Burritos,hotshots-bernard,m,Bernard,4,2,4,50.0,0,0,0,0,0,0,0,1,1,3,1,1,0,0,3,0,3,0,12:13,-6,-2,2,1,4
Camden Hells,,,,43,19,55,34.5,0,2,0,5,11,45.5,15,22,37,18,13,6,3,0,6,8,54,,,,,,,
Camden Hells,camdenhells-davidgalindo,m,David Galindo,4,2,9,22.2,0,1,0,0,0,0,2,1,3,2,2,1,0,0,0,0,1,-10,16:41,6,1,-2,1,-1
Camden Hells,camdenhells-sean,m,Sean,4,2,5,40.0,0,0,0,0,3,0,1,2,3,8,4,2,0,0,0,3,10,-2,21:47,0,8,-2,-1,-2
Camden Hells,lostangels-sophie,f,Sophie,6,3,7,42.9,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,5,-4,28:59,9,9,0,-2,-4
Camden Hells,rockets-anna,f,Anna,2,1,3,33.3,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,-1,-15,13:48,-3,2,-2,2,0
Camden Hells,rockets-malachi,m,Malachi,9,3,7,42.9,0,0,0,3,6,50.0,3,10,13,0,0,0,1,0,0,3,19,-10,23:36,3,7,0,-2,-3
Camden Hells,kissmygrass-steph,f,Steph-Kansas,2,1,5,20.0,0,1,0,0,0,0,1,4,5,1,3,1,2,0,0,0,4,-3,25:13,8,5,-4,2,-2
Camden Hells,lostangels-rob,m,Rob,14,6,14,42.9,0,0,0,2,2,100.0,3,3,6,3,0,1,0,0,3,1,14,1,21:58,8,7,-1,0,-2
Camden Hells,lions-alfie,m,Alfie,2,1,5,20.0,0,0,0,0,0,0,2,1,3,2,1,0,0,0,2,1,1,-12,16:59,4,1,-4,5,-1
