team_name,player_id,player_gender,player_name,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,fd,pir,+/-,min,reb +/-,ast +/-,stl +/-,tov +/-,fc +/-
Camden Hells,,,,38,18,36,50.0,0,2,0,2,9,22.2,6,21,27,14,12,16,3,1,7,6,59,,,,,,,
Camden Hells,camdenhells-davidgalindo,m,David Galindo,4,2,4,50.0,0,1,0,0,0,0,0,1,1,6,3,5,0,0,0,0,11,15,24:08,-3,8,8,-5,0
Camden Hells,camdenhells-sean,m,Sean,4,2,6,33.3,0,0,0,0,4,0,2,5,7,3,2,6,0,0,2,2,10,19,23:49,5,10,11,-8,0
Camden Hells,lostangels-sophie,f,Sophie,2,1,7,14.3,0,0,0,0,0,0,1,3,4,1,1,0,0,1,1,0,-2,23,27:38,2,11,11,-8,2
Camden Hells,rockets-anna,f,Anna,6,3,3,100.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,15,13:21,0,7,4,-5,1
Camden Hells,rockets-malachi,m,Malachi,16,7,9,77.8,0,0,0,2,3,66.7,0,7,7,1,5,3,3,0,2,2,22,24,20:09,4,9,7,-6,-1
Camden Hells,camdenhells-jess,f,Jess,0,0,1,0,0,1,0,0,2,0,0,1,1,0,0,1,0,0,0,2,1,6,12:23,3,4,6,-2,-1
Camden Hells,lions-alfie,m,Alfie,6,3,6,50.0,0,0,0,0,0,0,2,3,5,3,1,0,0,0,2,0,8,11,15:34,-1,6,7,-5,4
Camden Hells,lostangels-daria,f,Daria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,02:31,-1,0,1,-1,0
Green Machine,,,,15,5,32,15.6,3,9,33.3,2,8,25.0,9,15,24,3,20,5,1,3,6,7,-7,,,,,,,
Green Machine,greenmachine-alex,m,AlexGM,0,0,6,0,0,0,0,0,0,0,5,7,12,0,6,0,1,1,1,1,0,-14,21:18,1,-8,-8,5,-1
Green Machine,greenmachine-alison,f,Alison,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,-4,-18,19:00,-1,-9,-10,10,2
Green Machine,greenmachine-kelli,f,Kelli,0,0,2,0,0,1,0,0,2,0,1,1,2,1,0,0,0,1,1,1,-2,-12,19:29,-1,-6,-7,3,-3
Green Machine,greenmachine-marina,f,Marina,0,0,2,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,-3,-16,17:25,-2,-7,-5,3,-1
Green Machine,greenmachine-sergio,m,Sergio,4,1,2,50.0,1,2,50.0,1,2,50.0,0,2,2,0,1,1,0,0,0,1,5,-11,09:10,-7,-5,-5,3,-1
Green Machine,greenmachine-basel,m,Basel,5,2,9,22.2,1,3,33.3,0,2,0,0,1,1,1,2,1,0,1,1,1,-4,-16,19:58,1,-7,-7,6,-1
Green Machine,greenmachine-jayd,m,Jayd,3,1,5,20.0,1,2,50.0,0,0,0,0,2,2,0,1,0,0,0,1,2,1,-12,16:59,3,-4,-5,3,0
Green Machine,greenmachine-ahmed,m,Ahmed,3,1,5,20.0,0,1,0,1,2,50.0,1,2,3,1,6,3,0,0,1,1,-1,-16,16:27,-4,-9,-8,7,0
