team_name,player_id,player_gender,player_name,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,fd,pir,+/-,min,reb +/-,ast +/-,stl +/-,tov +/-,fc +/-
Rockets,,,,37,15,49,30.6,1,7,14.3,6,12,50.0,12,19,31,7,15,22,1,7,12,9,33,,,,,,,
Rockets,rockets-anna,f,Anna,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-4,5,15:18,-3,-1,11,-7,2
Rockets,rockets-darnell,m,Darnell,13,6,15,40.0,0,3,0,1,4,25.0,1,3,4,1,5,2,0,2,1,2,2,6,30:04,-5,-2,12,-9,2
Rockets,rockets-janis,f,Janis,5,2,8,25.0,1,3,33.3,0,0,0,2,3,5,2,4,8,0,2,1,2,9,3,32:51,-4,-3,13,-8,1
Rockets,rockets-marc,m,Marc,7,2,10,20.0,0,1,0,3,6,50.0,0,4,4,2,3,3,0,0,2,4,4,3,31:21,-4,-4,14,-9,2
Rockets,rockets-patricia,f,Patricia,0,0,3,0,0,0,0,0,0,0,0,3,3,0,1,2,0,1,1,0,-1,-6,19:52,-3,-4,4,-3,1
Rockets,rockets-thriston,m,Thriston,6,3,5,60.0,0,0,0,0,0,0,5,3,8,2,2,5,1,1,6,0,11,-4,26:21,-2,-3,8,-4,-2
Rockets,rockets-malachi,m,Malachi,6,2,5,40.0,0,0,0,2,2,100.0,1,2,3,0,0,2,0,0,1,1,8,-2,14:16,-4,-3,8,-5,4
Lost Angels,,,,36,15,42,35.7,2,13,15.4,4,9,44.4,10,25,35,11,24,8,7,1,9,12,43,,,,,,,
Lost Angels,lostangels-carlos,m,Carlos,18,7,12,58.3,0,0,0,4,7,57.1,7,8,15,0,5,0,5,0,2,8,31,3,32:34,5,4,-13,8,-1
Lost Angels,lostangels-carlotta,f,Carlotta,4,2,7,28.6,0,0,0,0,0,0,0,1,1,3,2,1,0,1,0,0,1,0,19:10,2,2,-9,7,0
Lost Angels,lostangels-daria,f,Daria,0,0,4,0,0,4,0,0,2,0,1,0,1,1,5,3,0,0,3,2,-7,-4,25:42,4,4,-8,4,-3
Lost Angels,lostangels-jazeps,m,Jazeps,7,3,10,30.0,1,6,16.7,0,0,0,0,6,6,5,6,1,0,0,1,0,5,0,33:06,5,4,-14,9,-3
Lost Angels,lostangels-rolands,m,Rolands,5,2,5,40.0,1,2,50.0,0,0,0,1,6,7,0,5,2,1,0,2,1,6,-1,33:59,5,4,-14,9,-2
Lost Angels,lostangels-sophie,f,Sophie,2,1,4,25.0,0,1,0,0,0,0,0,2,2,2,1,1,1,0,1,1,4,-3,25:29,4,2,-12,8,-1
