team_name,player_id,player_gender,player_name,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,fd,pir,+/-,min,reb +/-,ast +/-,stl +/-,tov +/-,fc +/-
Burritos,,,,55,23,45,51.1,0,3,0,9,20,45.0,10,26,36,9,17,7,0,0,5,16,68,,,,,,,
Burritos,burritos-armelle,f,Armelle,0,0,1,0,0,0,0,0,0,0,0,4,4,1,1,2,0,0,0,1,6,3,26:12,13,-3,-1,5,-2
Burritos,burritos-suzi,f,Suzi,3,1,7,14.3,0,0,0,1,2,50.0,0,3,3,2,3,1,0,0,1,3,1,11,30:29,12,-2,0,3,-5
Burritos,burritos-wouter,m,Wouter,30,12,16,75.0,0,0,0,6,10,60.0,5,12,17,2,4,0,0,0,3,7,41,6,33:45,15,-4,-2,7,-6
Burritos,saturdays-jamie,m,Jamie,8,4,12,33.3,0,3,0,0,3,0,2,6,8,1,6,2,0,0,1,2,3,5,32:13,15,-4,-2,8,-5
Burritos,rockets-darnell,m,Darnell,14,6,9,66.7,0,0,0,2,5,40.0,2,1,3,2,3,2,0,0,0,3,15,6,33:49,15,-4,-2,7,-6
Burritos,lostangels-carlotta,f,Carlotta,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-2,10:54,5,-3,-3,6,-5
Lions,,,,53,21,50,42.0,7,20,35.0,4,7,57.1,3,20,23,14,10,9,0,0,17,6,46,,,,,,,
Lions,lions-diego,m,Diego,2,1,1,100.0,0,0,0,0,0,0,0,3,3,4,1,2,0,0,1,0,9,-3,22:09,-14,1,3,-9,4
Lions,lions-kata,f,Kata,18,7,10,70.0,1,1,100.0,3,5,60.0,0,1,1,1,2,3,0,0,1,3,18,-4,33:59,-15,5,2,-7,6
Lions,lions-rashid,m,Rashid,5,2,4,50.0,1,1,100.0,0,0,0,1,3,4,2,2,0,0,0,1,0,6,1,11:55,-2,5,-2,1,2
Lions,greenmachine-andris,m,Andris,0,0,1,0,0,0,0,0,0,0,0,2,2,4,0,1,0,0,2,0,4,-1,11:36,-7,3,3,-6,3
Lions,lions-ring-jamal,m,Jamal,14,6,15,40.0,2,6,33.3,0,0,0,1,3,4,1,3,2,0,0,3,0,6,-7,29:42,-13,3,2,-4,4
Lions,lostangels-daria,f,Daria,6,2,7,28.6,2,5,40.0,0,0,0,0,2,2,0,0,0,0,0,0,1,4,-3,31:26,-14,4,3,-8,5
Lions,lions-foley,m,Foley,6,2,11,18.2,1,7,14.3,1,2,50.0,1,3,4,2,2,1,0,0,3,1,-1,-5,24:15,-10,1,0,-3,4
