team_name,player_id,player_gender,player_name,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,fd,pir,+/-,min,reb +/-,ast +/-,stl +/-,tov +/-,fc +/-
Hot Shots,,,,40,16,47,34.0,2,9,22.2,6,15,40.0,9,31,40,12,13,10,8,3,10,11,55,,,,,,,
Hot Shots,hotshots-daniel,m,Daniel,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2,0,1,10,24:15,-7,2,0,0,-3
Hot Shots,hotshots-martin,m,Marty,8,4,9,44.4,0,0,0,0,0,0,1,4,5,0,2,2,0,2,0,0,6,8,18:45,-12,4,-4,2,0
Hot Shots,hotshots-harrison,m,Harrison38,13,5,15,33.3,1,5,20.0,2,2,100.0,0,3,3,2,1,1,1,1,1,2,9,5,32:48,-16,1,-1,-1,1
Hot Shots,imports-dan,m,Dan,9,3,10,30.0,0,2,0,3,5,60.0,3,9,12,1,4,3,7,0,4,4,19,8,30:33,-7,2,-1,-1,1
Hot Shots,hotshots-bernard,m,Bernard,7,3,11,27.3,0,0,0,1,8,12.5,3,4,7,4,4,2,0,0,2,4,3,5,29:40,-14,3,-2,0,1
Hot Shots,rockets-janis,f,Janis,3,1,2,50.0,1,2,50.0,0,0,0,0,4,4,5,2,2,0,0,1,1,11,11,33:06,-14,3,-1,-1,-1
North L Lions,,,,31,11,66,16.7,4,25,16.0,5,11,45.5,27,26,53,9,13,12,3,8,11,10,25,,,,,,,
North L Lions,northlondonlions-tanky,m,Tanky,7,3,15,20.0,1,9,11.1,0,0,0,1,3,4,1,0,4,0,0,2,2,4,-8,26:02,9,-5,1,1,1
North L Lions,northlondonlions-banksy,f,Banksy,0,0,5,0,0,0,0,0,0,0,2,1,3,2,0,0,0,1,1,0,-2,2,08:08,13,0,0,1,2
North L Lions,northlondonlions-boma,m,Boma,13,4,18,22.2,2,10,20.0,3,5,60.0,2,8,10,3,0,3,2,0,2,4,17,-10,29:46,7,-4,2,0,1
North L Lions,northlondonlions-tom,m,Tom NLL,4,2,7,28.6,0,1,0,0,2,0,11,6,17,1,5,1,0,2,3,1,7,-3,20:36,15,1,-1,2,-2
North L Lions,northlondonlions-kenny,m,Kenny,6,2,7,28.6,1,4,25.0,1,2,50.0,4,6,10,2,8,2,1,0,2,2,7,-6,24:39,10,-1,1,0,1
North L Lions,northlondonlions-sulley,m,Sulley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0
North L Lions,northlondonlions-stephanie,f,Stephanie F,1,0,10,0,0,1,0,1,2,50.0,2,2,4,0,0,2,0,2,0,1,-5,-16,27:30,1,-5,2,0,0
North L Lions,northlondonlions-sarah,f,Sarah,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,-7,-9,29:54,13,-1,0,1,1
