team_name,player_id,player_gender,player_name,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,fd,pir,+/-,min,reb +/-,ast +/-,stl +/-,tov +/-,fc +/-
North L Lions,,,,36,15,64,23.4,5,21,23.8,1,1,100.0,14,24,38,6,12,10,3,2,11,5,24,,,,,,,
North L Lions,northlondonlions-tanky,m,Tanky,15,6,18,33.3,3,7,42.9,0,0,0,2,3,5,2,3,1,0,1,1,0,6,-12,31:25,-9,-8,2,-4,4
North L Lions,northlondonlions-banksy,f,Banksy,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,-1,-5,10:57,-1,-4,-2,2,2
North L Lions,northlondonlions-kat,f,Kitty-Kat,2,1,4,25.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-13,22:22,-6,-5,-1,-1,8
North L Lions,northlondonlions-boma,m,Boma,17,7,25,28.0,2,11,18.2,1,1,100.0,4,8,12,1,1,5,3,1,2,2,18,-14,33:55,-10,-8,3,-4,6
North L Lions,northlondonlions-kenny,m,Kenny,0,0,1,0,0,1,0,0,0,0,0,1,1,0,3,0,0,0,0,0,-3,-3,05:18,-1,-2,0,2,2
North L Lions,northlondonlions-mikey,m,Mikey,2,1,8,12.5,0,0,0,0,0,0,4,8,12,3,1,2,0,0,7,2,6,-13,31:24,-10,-6,4,-6,6
North L Lions,northlondonlions-millie,f,Millie,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,-5,13:57,-6,-4,4,-4,0
North L Lions,northlondonlions-stephanie,f,Stephanie F,0,0,5,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,1,-6,-5,20:45,-7,-3,5,-5,2
Burritos,,,,50,18,51,35.3,3,13,23.1,11,16,68.8,13,35,48,14,16,7,2,3,5,11,70,,,,,,,
Burritos,burritos-alex,m,AlexConn,7,2,10,20.0,1,4,25.0,2,4,50.0,4,6,10,2,3,2,2,1,0,2,11,6,22:15,5,3,-6,7,-4
Burritos,burritos-allen,m,Allen,5,2,3,66.7,1,2,50.0,0,0,0,2,7,9,1,2,0,0,0,0,0,12,1,20:03,1,6,1,-1,-2
Burritos,burritos-armelle,f,Armelle,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,-3,12,27:08,11,4,-1,3,-5
Burritos,burritos-tom,m,Tom,2,1,7,14.3,0,4,0,0,0,0,1,4,5,8,3,4,0,0,2,1,9,20,29:22,15,8,-3,5,-6
Burritos,burritos-wouter,m,Wouter,23,7,17,41.2,0,0,0,9,12,75.0,2,14,16,2,5,1,0,0,1,8,31,15,30:21,9,7,-1,1,-6
Burritos,dropbears-mary,f,Mary,11,5,9,55.6,1,3,33.3,0,0,0,1,1,2,1,2,0,0,1,1,0,6,14,33:08,10,8,-3,4,-6
Burritos,lions-kata,f,Kata,2,1,2,50.0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,2,07:45,-1,4,-2,1,-1
