team_name,player_id,player_gender,player_name,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,fd,pir,+/-,min,reb +/-,ast +/-,stl +/-,tov +/-,fc +/-
Lost Angels,,,,41,15,41,36.6,9,19,47.4,2,7,28.6,5,25,30,14,22,11,1,1,6,7,44,,,,,,,
Lost Angels,lostangels-aldis,m,Aldis,9,3,6,50.0,3,6,50.0,0,2,0,0,10,10,3,4,6,1,0,4,2,18,1,32:21,-4,5,-4,6,-1
Lost Angels,lostangels-carlos,m,Carlos,0,0,2,0,0,0,0,0,0,0,1,3,4,1,3,0,0,1,0,1,0,0,08:29,2,1,-4,2,-2
Lost Angels,lostangels-carlotta,f,Carlotta,5,2,7,28.6,0,0,0,1,2,50.0,1,1,2,2,4,1,0,0,0,1,1,-3,33:58,-6,4,-5,7,-1
Lost Angels,lostangels-daria,f,Daria,18,6,10,60.0,6,9,66.7,0,0,0,0,1,1,0,2,1,0,0,1,0,13,-3,32:33,-6,4,-4,7,0
Lost Angels,lostangels-jazeps,m,Jazeps,5,2,10,20.0,0,3,0,1,3,33.3,3,7,10,6,6,2,0,0,1,2,8,-2,32:30,-6,3,-5,7,0
Lost Angels,lostangels-sophie,f,Sophie,4,2,6,33.3,0,1,0,0,0,0,0,2,2,2,3,1,0,0,0,0,2,-8,30:10,-10,3,-3,6,-1
Camden Hells,,,,44,20,56,35.7,3,9,33.3,1,4,25.0,12,23,35,10,15,16,1,1,7,6,50,,,,,,,
Camden Hells,camdenhells-davidgalindo,m,David Galindo,3,1,7,14.3,1,4,25.0,0,0,0,2,2,4,2,2,0,0,0,0,1,2,6,21:02,-2,0,4,-7,1
Camden Hells,camdenhells-sean,m,Sean,16,8,12,66.7,0,0,0,0,0,0,2,1,3,2,4,5,0,0,2,2,18,-1,24:42,7,-6,2,-2,2
Camden Hells,rockets-malachi,m,Malachi,12,6,11,54.5,0,0,0,0,0,0,4,12,16,0,2,4,1,0,4,1,23,5,31:00,5,-3,6,-8,-1
Camden Hells,kissmygrass-steph,f,Steph-Kansas,7,2,4,50.0,2,2,100.0,1,2,50.0,0,2,2,0,0,2,0,0,1,1,8,4,23:40,1,-1,3,-3,-2
Camden Hells,greenmachine-ahmed,m,Ahmed,2,1,12,8.3,0,3,0,0,0,0,3,4,7,2,3,3,0,0,0,0,0,-1,25:17,8,-3,3,-4,1
Camden Hells,rockets-janis,f,Janis,2,1,1,100.0,0,0,0,0,2,0,1,2,3,2,0,1,0,0,0,1,7,-1,19:55,4,-4,4,-8,2
Camden Hells,lions-kata,f,Kata,2,1,9,11.1,0,0,0,0,0,0,0,0,0,2,4,1,0,1,0,0,-8,3,24:26,7,-3,3,-3,2
