team_name,player_id,player_gender,player_name,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,fd,pir,+/-,min,reb +/-,ast +/-,stl +/-,tov +/-,fc +/-
Rockets,,,,56,22,50,44.0,6,18,33.3,6,15,40.0,13,22,35,14,15,11,0,1,13,12,62,,,,,,,
Rockets,rockets-alex,m,AlexCast,12,6,10,60.0,0,1,0,0,2,0,2,4,6,0,4,2,0,0,4,1,7,15,29:13,6,6,1,-2,2
Rockets,rockets-darnell,m,Darnell,8,3,12,25.0,0,4,0,2,6,33.3,0,4,4,1,5,1,0,0,1,4,-1,8,28:04,2,3,1,-1,4
Rockets,rockets-janis,f,Janis,0,0,1,0,0,0,0,0,0,0,1,2,3,8,3,1,0,0,1,0,7,15,33:56,5,7,2,-3,1
Rockets,rockets-marc,m,Marc,16,5,12,41.7,2,4,50.0,4,7,57.1,3,5,8,2,3,2,0,1,2,4,16,20,24:11,7,8,1,-2,-1
Rockets,rockets-paul,m,Paul,8,4,7,57.1,0,1,0,0,0,0,4,5,9,2,0,5,0,0,5,3,19,2,20:34,0,4,3,-4,-2
Rockets,lostangels-daria,f,Daria,12,4,8,50.0,4,8,50.0,0,0,0,0,2,2,1,0,0,0,0,0,0,11,15,34:00,5,7,2,-3,1
Hot Shots,,,,41,16,42,38.1,2,6,33.3,7,13,53.8,7,20,27,7,18,9,1,0,12,13,36,,,,,,,
Hot Shots,hotshots-daniel,m,Daniel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-7,12:51,-7,-3,3,-2,-2
Hot Shots,hotshots-weronika,f,Weronika,4,2,2,100.0,0,0,0,0,0,0,1,0,1,1,2,1,0,0,1,0,4,-15,29:24,-5,-7,0,2,-1
Hot Shots,hotshots-martin,m,Marty,9,4,7,57.1,0,0,0,1,3,33.3,1,1,2,0,0,0,0,0,0,2,8,-9,22:42,2,-4,-5,5,0
Hot Shots,hotshots-harrison,m,Harrison38,22,9,19,47.4,1,4,25.0,3,6,50.0,3,6,9,2,5,3,0,0,5,6,19,-14,32:54,-5,-7,-2,3,0
Hot Shots,lions-kata,f,Kata,0,0,4,0,0,1,0,0,0,0,0,2,2,0,1,0,0,0,0,0,-3,-9,23:55,0,-3,-5,5,-1
Hot Shots,kissmygrass-steph,f,Steph-Kansas,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,-6,14:43,-5,-4,1,-1,0
Hot Shots,imports-dan,m,Dan,6,1,9,11.1,1,1,100.0,3,4,75.0,2,9,11,4,9,5,1,0,5,5,9,-15,33:34,-5,-7,-2,3,-1
