team_name,player_id,player_gender,player_name,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,fd,pir,+/-,min,reb +/-,ast +/-,stl +/-,tov +/-,fc +/-
Lions,,,,41,19,60,31.7,2,16,12.5,1,2,50.0,15,29,44,11,12,5,4,1,7,3,46,,,,,,,
Lions,lions-kata,f,Kata,12,6,13,46.2,0,1,0,0,0,0,2,2,4,1,4,0,0,1,0,0,5,-8,34:00,-2,-4,-3,3,4
Lions,lions-rashid,m,Rashid,0,0,7,0,0,6,0,0,0,0,0,6,6,1,1,0,0,0,1,0,-2,-10,29:36,-4,-4,-2,4,4
Lions,lostangels-daria,f,Daria,3,1,6,16.7,1,4,25.0,0,0,0,1,2,3,1,0,0,0,0,0,1,3,-8,33:53,-2,-4,-3,3,4
Lions,lions-ring-jamal,m,Jamal,12,5,18,27.8,1,4,25.0,1,2,50.0,5,6,11,6,2,3,0,0,4,2,14,-6,31:36,-1,-4,-3,1,3
Lions,hotshots-harrison,m,Harrison38,8,4,11,36.4,0,1,0,0,0,0,3,5,8,1,4,2,0,0,2,0,6,-9,26:25,0,-4,-3,3,4
Lions,imports-dan,m,Dan,6,3,5,60.0,0,0,0,0,0,0,1,6,7,1,1,0,4,0,0,0,15,1,14:30,-1,0,-1,1,1
Green Machine,,,,49,21,65,32.3,6,19,31.6,1,3,33.3,16,27,43,15,10,8,1,4,3,7,60,,,,,,,
Green Machine,greenmachine-ahmed,m,Ahmed,7,3,11,27.3,1,4,25.0,0,0,0,0,4,4,2,1,1,1,2,1,0,3,6,17:18,-2,1,1,-1,0
Green Machine,greenmachine-alison,f,Alison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0
Green Machine,greenmachine-marina,f,Marina,2,1,6,16.7,0,0,0,0,0,0,1,2,3,2,0,1,0,0,1,1,3,8,34:00,2,4,3,-3,-4
Green Machine,greenmachine-jayd,m,Jayd,12,5,14,35.7,2,8,25.0,0,0,0,2,4,6,2,3,2,0,0,0,1,11,8,25:14,3,5,4,-5,-4
Green Machine,greenmachine-ring-adam,m,Adam,12,6,9,66.7,0,0,0,0,2,0,2,9,11,3,1,1,0,0,0,1,22,8,32:15,4,4,2,-1,-3
Green Machine,greenmachine-sarah,f,Sarah,0,0,8,0,0,0,0,0,0,0,5,0,5,1,2,0,0,1,0,0,-5,8,33:43,2,4,3,-3,-4
Green Machine,burritos-alex,m,AlexConn,16,6,17,35.3,3,7,42.9,1,1,100.0,5,7,12,5,2,3,0,1,1,4,25,2,27:30,1,2,2,-2,-5
