game_id,sequence_number,period_number,period_seconds,side_id,team_id,player_id,shot_points,fg_made,ft_made,points_scored,fouled,assisted,dribbled,outcome,last_passer
20191031-1845-hotshots-camdenhells,16,1,15.85,0,hotshots,hotshots-weronika,2,0,1,1,True,True,False,FreeThrowMade,hotshots-marine
20191031-1845-hotshots-camdenhells,32,1,53.69,1,camdenhells,rockets-malachi,2,1,0,2,False,True,False,TwoPointShotMade,lostangels-rob
20191031-1845-hotshots-camdenhells,48,1,87.12,0,hotshots,hotshots-sharad,2,1,0,2,False,False,True,TwoPointShotMade,hotshots-harrison
20191031-1845-hotshots-camdenhells,56,1,98.87,1,camdenhells,rockets-malachi,2,0,2,2,True,True,False,FreeThrowMade,lostangels-rob
20191031-1845-hotshots-camdenhells,89,1,162.87,1,camdenhells,camdenhells-sean,2,0,0,0,False,False,False,OffensiveRebound,lostangels-sophie
20191031-1845-hotshots-camdenhells,93,1,164.96,1,camdenhells,rockets-malachi,2,1,0,2,False,False,False,TwoPointShotMade,
20191031-1845-hotshots-camdenhells,99,1,180.41,0,hotshots,hotshots-marine,2,0,0,0,False,False,False,DefensiveRebound,hotshots-harrison
20191031-1845-hotshots-camdenhells,109,1,191.57,0,hotshots,hotshots-weronika,2,1,0,2,False,True,False,TwoPointShotMade,hotshots-marine
20191031-1845-hotshots-camdenhells,118,1,199.94,1,camdenhells,lostangels-rob,2,1,0,2,False,False,True,TwoPointShotMade,camdenhells-sean
20191031-1845-hotshots-camdenhells,126,1,217.74,0,hotshots,hotshots-harrison,2,0,0,0,False,False,True,DefensiveRebound,hotshots-sharad
20191031-1845-hotshots-camdenhells,134,1,226.53,1,camdenhells,rockets-malachi,2,0,0,0,True,False,False,DefensiveRebound,lostangels-rob
20191031-1845-hotshots-camdenhells,149,1,258.24,0,hotshots,hotshots-harrison,3,1,0,3,False,False,True,ThreePointShotMade,
20191031-1845-hotshots-camdenhells,159,1,273.03,1,camdenhells,greenmachine-ahmed,2,0,0,0,False,False,True,OffensiveRebound,lostangels-rob
20191031-1845-hotshots-camdenhells,163,1,274.89,1,camdenhells,lostangels-rob,2,0,0,0,False,False,False,DefensiveRebound,
20191031-1845-hotshots-camdenhells,168,1,283.38,0,hotshots,hotshots-harrison,2,0,0,0,True,False,True,DefensiveRebound,
20191031-1845-hotshots-camdenhells,189,1,349.68,1,camdenhells,rockets-malachi,2,0,1,1,True,True,True,FreeThrowMade,greenmachine-ahmed
20191031-1845-hotshots-camdenhells,213,1,395.75,1,camdenhells,greenmachine-ahmed,2,0,0,0,False,False,False,OffensiveRebound,rockets-malachi
20191031-1845-hotshots-camdenhells,217,1,401.21,1,camdenhells,rockets-anna,2,0,0,0,True,False,False,OffensiveRebound,
20191031-1845-hotshots-camdenhells,231,1,425.84,1,camdenhells,rockets-malachi,2,0,0,0,False,False,False,DefensiveRebound,greenmachine-ahmed
20191031-1845-hotshots-camdenhells,236,1,434.12,0,hotshots,hotshots-harrison,2,1,0,2,False,False,True,TwoPointShotMade,
20191031-1845-hotshots-camdenhells,251,1,452.42,1,camdenhells,rockets-anna,2,0,0,0,False,False,False,OffensiveRebound,greenmachine-ahmed
20191031-1845-hotshots-camdenhells,255,1,457.36,1,camdenhells,rockets-malachi,2,0,0,0,False,False,False,DefensiveRebound,
20191031-1845-hotshots-camdenhells,269,1,475.8,0,hotshots,dropbears-mary,2,0,0,0,False,False,True,DefensiveRebound,hotshots-martin
20191031-1845-hotshots-camdenhells,279,1,486.68,1,camdenhells,lions-alfie,2,0,0,0,True,False,False,OffensiveRebound,rockets-malachi
20191031-1845-hotshots-camdenhells,291,1,517.49,1,camdenhells,rockets-malachi,2,0,0,0,False,False,False,OffensiveRebound,greenmachine-ahmed
20191031-1845-hotshots-camdenhells,295,1,519.85,1,camdenhells,lions-alfie,2,0,0,0,False,False,False,DefensiveRebound,
20191031-1845-hotshots-camdenhells,306,1,536.62,0,hotshots,hotshots-harrison,2,1,0,2,False,True,False,TwoPointShotMade,dropbears-mary
20191031-1845-hotshots-camdenhells,314,1,548.87,1,camdenhells,rockets-anna,2,0,0,0,False,False,False,OffensiveRebound,greenmachine-ahmed
20191031-1845-hotshots-camdenhells,319,1,551.28,1,camdenhells,rockets-anna,2,1,0,2,False,True,False,TwoPointShotMade,greenmachine-ahmed
20191031-1845-hotshots-camdenhells,328,1,564.92,0,hotshots,hotshots-harrison,2,0,0,0,False,False,True,DefensiveRebound,hotshots-weronika
20191031-1845-hotshots-camdenhells,364,1,609.96,1,camdenhells,lions-alfie,2,0,0,0,False,False,False,OffensiveRebound,rockets-malachi
20191031-1845-hotshots-camdenhells,370,1,613.84,1,camdenhells,lostangels-sophie,3,0,0,0,False,False,False,OffensiveRebound,camdenhells-jess
20191031-1845-hotshots-camdenhells,376,1,620.52,1,camdenhells,lions-alfie,2,0,0,0,False,False,False,DefensiveRebound,lostangels-sophie
20191031-1845-hotshots-camdenhells,383,1,635.08,0,hotshots,hotshots-martin,2,0,0,0,False,False,False,DefensiveRebound,hotshots-weronika
20191031-1845-hotshots-camdenhells,394,1,645.86,1,camdenhells,lions-alfie,2,1,0,2,False,True,False,TwoPointShotMade,lostangels-sophie
20191031-1845-hotshots-camdenhells,418,1,687.22,1,camdenhells,lostangels-rob,2,0,0,0,False,False,True,DefensiveRebound,camdenhells-davidgalindo
20191031-1845-hotshots-camdenhells,423,1,697.93,0,hotshots,hotshots-harrison,2,0,0,0,False,False,True,OffensiveRebound,
20191031-1845-hotshots-camdenhells,426,1,699.09,0,hotshots,hotshots-harrison,2,1,0,2,False,False,False,TwoPointShotMade,
20191031-1845-hotshots-camdenhells,437,1,711.64,1,camdenhells,camdenhells-davidgalindo,3,0,0,0,False,False,False,OffensiveRebound,lostangels-sophie
20191031-1845-hotshots-camdenhells,442,1,715.95,1,camdenhells,lostangels-rob,2,1,0,2,False,True,False,TwoPointShotMade,camdenhells-sean
20191031-1845-hotshots-camdenhells,451,1,726.06,0,hotshots,hotshots-harrison,3,0,0,0,False,False,True,DefensiveRebound,hotshots-sharad
20191031-1845-hotshots-camdenhells,458,1,739.77,1,camdenhells,camdenhells-davidgalindo,2,0,0,0,False,False,False,DefensiveRebound,camdenhells-sean
20191031-1845-hotshots-camdenhells,475,1,761.67,0,hotshots,hotshots-weronika,2,0,0,0,False,False,False,DefensiveRebound,hotshots-marine
20191031-1845-hotshots-camdenhells,484,1,771.33,1,camdenhells,lostangels-rob,2,1,0,2,False,True,False,TwoPointShotMade,camdenhells-davidgalindo
20191031-1845-hotshots-camdenhells,494,1,788.73,0,hotshots,hotshots-weronika,2,0,0,0,False,False,False,DefensiveRebound,hotshots-sharad
20191031-1845-hotshots-camdenhells,517,1,852.01,1,camdenhells,camdenhells-sean,2,0,1,1,True,False,True,FreeThrowMade,lostangels-sophie
20191031-1845-hotshots-camdenhells,531,1,877.43,0,hotshots,hotshots-harrison,2,0,0,0,False,False,True,DefensiveRebound,hotshots-weronika
20191031-1845-hotshots-camdenhells,538,1,891.2,1,camdenhells,camdenhells-jess,2,0,0,0,False,False,False,DefensiveRebound,camdenhells-sean
20191031-1845-hotshots-camdenhells,548,1,901.76,0,hotshots,dropbears-mary,3,1,0,3,False,True,False,ThreePointShotMade,hotshots-harrison
20191031-1845-hotshots-camdenhells,557,1,916.8,1,camdenhells,lostangels-rob,2,0,0,0,False,False,True,DefensiveRebound,camdenhells-sean
20191031-1845-hotshots-camdenhells,576,1,944.39,0,hotshots,hotshots-harrison,2,1,0,2,False,False,True,TwoPointShotMade,hotshots-weronika
20191031-1845-hotshots-camdenhells,583,1,952.71,1,camdenhells,lostangels-rob,2,0,0,0,False,False,False,DefensiveRebound,camdenhells-sean
20191031-1845-hotshots-camdenhells,589,1,959.95,0,hotshots,dropbears-mary,2,0,0,0,False,False,False,DefensiveRebound,hotshots-weronika
20191031-1845-hotshots-camdenhells,596,1,967.95,1,camdenhells,rockets-anna,2,0,0,0,False,False,True,DefensiveRebound,
20191031-1845-hotshots-camdenhells,605,1,982.62,0,hotshots,hotshots-martin,2,1,0,2,False,True,False,TwoPointShotMade,hotshots-harrison
20191031-1845-hotshots-camdenhells,613,1,993.73,1,camdenhells,rockets-malachi,2,0,2,2,True,False,False,FreeThrowMade,camdenhells-sean
20191031-1845-hotshots-camdenhells,624,1,1010.2,0,hotshots,hotshots-martin,3,0,0,0,False,False,False,DefensiveRebound,hotshots-weronika
20191031-1845-hotshots-camdenhells,32,2,13.35,1,camdenhells,rockets-malachi,2,1,0,2,False,True,False,TwoPointShotMade,lostangels-sophie
20191031-1845-hotshots-camdenhells,40,2,31.06,0,hotshots,hotshots-martin,2,0,0,0,False,False,False,DefensiveRebound,hotshots-marine
20191031-1845-hotshots-camdenhells,45,2,36.67,1,camdenhells,camdenhells-sean,2,0,0,0,False,False,True,OffensiveRebound,
20191031-1845-hotshots-camdenhells,52,2,43.17,1,camdenhells,rockets-malachi,2,0,2,2,True,False,False,FreeThrowMade,
20191031-1845-hotshots-camdenhells,73,2,79.12,1,camdenhells,rockets-malachi,2,1,0,2,False,True,False,TwoPointShotMade,camdenhells-sean
20191031-1845-hotshots-camdenhells,87,2,101.19,0,hotshots,dropbears-mary,2,0,0,0,False,False,True,DefensiveRebound,hotshots-harrison
20191031-1845-hotshots-camdenhells,97,2,109.13,1,camdenhells,greenmachine-ahmed,2,0,0,0,False,False,False,OffensiveRebound,camdenhells-sean
20191031-1845-hotshots-camdenhells,101,2,111.33,1,camdenhells,rockets-malachi,2,0,0,0,False,False,False,DefensiveRebound,
20191031-1845-hotshots-camdenhells,135,2,163.06,0,hotshots,hotshots-harrison,2,0,1,1,True,False,True,DefensiveRebound,hotshots-sharad
20191031-1845-hotshots-camdenhells,152,2,200.98,1,camdenhells,lostangels-rob,2,1,0,2,False,False,True,TwoPointShotMade,camdenhells-jess
20191031-1845-hotshots-camdenhells,166,2,225.72,0,hotshots,hotshots-martin,2,1,0,2,False,True,False,TwoPointShotMade,hotshots-marine
20191031-1845-hotshots-camdenhells,177,2,232.19,1,camdenhells,camdenhells-jess,2,1,0,2,False,True,False,TwoPointShotMade,lostangels-sophie
20191031-1845-hotshots-camdenhells,186,2,250.09,0,hotshots,hotshots-martin,2,0,0,0,False,False,False,DefensiveRebound,hotshots-harrison
20191031-1845-hotshots-camdenhells,194,2,259.87,1,camdenhells,lostangels-rob,2,0,0,0,False,False,False,OffensiveRebound,greenmachine-ahmed
20191031-1845-hotshots-camdenhells,202,2,263.82,1,camdenhells,camdenhells-jess,3,0,0,0,False,False,False,OffensiveRebound,lostangels-sophie
20191031-1845-hotshots-camdenhells,212,2,274.25,1,camdenhells,lostangels-sophie,2,0,0,0,False,False,True,OffensiveRebound,camdenhells-jess
20191031-1845-hotshots-camdenhells,216,2,275.98,1,camdenhells,lostangels-rob,2,1,0,2,False,False,False,TwoPointShotMade,
20191031-1845-hotshots-camdenhells,226,2,294.54,0,hotshots,hotshots-weronika,2,0,0,0,False,False,False,OffensiveRebound,hotshots-martin
20191031-1845-hotshots-camdenhells,230,2,296.85,0,hotshots,hotshots-marine,2,0,0,0,False,False,False,DefensiveRebound,
20191031-1845-hotshots-camdenhells,239,2,302.92,1,camdenhells,lostangels-rob,2,0,1,1,True,True,False,DefensiveRebound,camdenhells-sean
20191031-1845-hotshots-camdenhells,261,2,342.28,0,hotshots,hotshots-harrison,2,0,2,2,True,False,True,FreeThrowMade,burritos-allen
20191031-1845-hotshots-camdenhells,281,2,381.14,1,camdenhells,rockets-malachi,2,0,0,0,False,False,True,DefensiveRebound,camdenhells-davidgalindo
20191031-1845-hotshots-camdenhells,286,2,390.97,0,hotshots,hotshots-harrison,3,0,0,0,False,False,True,OffensiveRebound,
20191031-1845-hotshots-camdenhells,291,2,398.88,0,hotshots,hotshots-harrison,2,0,0,0,True,False,False,DefensiveRebound,
20191031-1845-hotshots-camdenhells,318,2,456.87,0,hotshots,hotshots-weronika,2,0,0,0,False,False,True,DefensiveRebound,hotshots-harrison
20191031-1845-hotshots-camdenhells,326,2,469.27,1,camdenhells,rockets-malachi,2,0,2,2,True,False,False,FreeThrowMade,camdenhells-davidgalindo
20191031-1845-hotshots-camdenhells,340,2,497.38,0,hotshots,hotshots-harrison,2,0,0,0,False,False,True,DefensiveRebound,hotshots-weronika
20191031-1845-hotshots-camdenhells,346,2,501.62,1,camdenhells,camdenhells-davidgalindo,2,1,0,2,False,True,True,TwoPointShotMade,lions-alfie
20191031-1845-hotshots-camdenhells,359,2,523.43,1,camdenhells,lions-alfie,2,1,0,2,False,True,False,TwoPointShotMade,camdenhells-davidgalindo
20191031-1845-hotshots-camdenhells,369,2,538.22,0,hotshots,dropbears-mary,3,0,0,0,False,False,False,DefensiveRebound,hotshots-harrison
20191031-1845-hotshots-camdenhells,378,2,548.74,1,camdenhells,camdenhells-davidgalindo,2,0,0,0,False,False,True,OffensiveRebound,rockets-malachi
20191031-1845-hotshots-camdenhells,390,2,568.54,0,hotshots,hotshots-sharad,3,0,0,0,False,False,False,DefensiveRebound,hotshots-harrison
20191031-1845-hotshots-camdenhells,397,2,577.2,1,camdenhells,camdenhells-davidgalindo,2,0,0,0,False,False,True,OffensiveRebound,lions-alfie
20191031-1845-hotshots-camdenhells,402,2,580.51,1,camdenhells,rockets-malachi,2,1,0,2,False,False,False,TwoPointShotMade,
20191031-1845-hotshots-camdenhells,420,2,607.15,1,camdenhells,lostangels-rob,2,1,0,2,False,True,False,TwoPointShotMade,camdenhells-jess
20191031-1845-hotshots-camdenhells,428,2,618.93,0,hotshots,dropbears-mary,3,0,0,0,False,False,False,OffensiveRebound,hotshots-marine
20191031-1845-hotshots-camdenhells,432,2,622.29,0,hotshots,hotshots-martin,2,1,0,2,False,False,False,TwoPointShotMade,
20191031-1845-hotshots-camdenhells,448,2,639.03,1,camdenhells,lostangels-sophie,2,0,0,0,False,False,False,OffensiveRebound,greenmachine-ahmed
20191031-1845-hotshots-camdenhells,456,2,646.76,1,camdenhells,greenmachine-ahmed,2,0,0,0,False,False,False,OffensiveRebound,lostangels-rob
20191031-1845-hotshots-camdenhells,465,2,656.08,1,camdenhells,camdenhells-sean,2,1,0,2,False,False,True,TwoPointShotMade,lostangels-sophie
20191031-1845-hotshots-camdenhells,477,2,675.31,1,camdenhells,camdenhells-sean,2,0,0,0,False,False,False,DefensiveRebound,greenmachine-ahmed
20191031-1845-hotshots-camdenhells,493,2,696.97,0,hotshots,hotshots-harrison,2,1,0,2,False,True,False,TwoPointShotMade,hotshots-marine
20191031-1845-hotshots-camdenhells,504,2,712.63,1,camdenhells,rockets-malachi,2,1,0,2,False,True,False,TwoPointShotMade,greenmachine-ahmed
20191031-1845-hotshots-camdenhells,520,2,733.82,0,hotshots,hotshots-marine,2,0,2,2,True,True,False,FreeThrowMade,hotshots-sharad
20191031-1845-hotshots-camdenhells,536,2,759.84,1,camdenhells,rockets-anna,2,1,0,2,False,True,False,TwoPointShotMade,camdenhells-sean
20191031-1845-hotshots-camdenhells,558,2,790.82,1,camdenhells,rockets-anna,2,1,0,2,False,True,False,TwoPointShotMade,rockets-malachi
