game_id,team_id,side_id,possession_id,first_event_id,first_event_type,first_player_id,first_on_court_player_id,cause_type,resolution_type,resolution_is_turnover,last_player_id,points_scored,opp_points_scored_next,second_chance_points,is_after_turnover,passes,players_involved,oreb,true_fga,true_3pa,fta,p1,p2,p3,p4,p5,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5
20191031-1845-hotshots-camdenhells,hotshots,0,1,817c38cc-8c45-445c-9b92-d818d59aec02,StartOfPeriod,hotshots-sharad,hotshots-sharad,,FreeThrowMade,False,hotshots-weronika,1,2,0,,5,4,0,1,0,2,hotshots-marine,hotshots-weronika,hotshots-harrison,hotshots-daniel,hotshots-sharad,rockets-malachi,lostangels-rob,camdenhells-sean,lostangels-sophie,camdenhells-jess
20191031-1845-hotshots-camdenhells,camdenhells,1,2,dc814054-724f-4cd5-bbea-e5921b07d58e,ThrowIn,rockets-malachi,camdenhells-sean,FreeThrowMade,TwoPointShotMade,False,rockets-malachi,2,2,0,False,4,4,0,1,0,0,rockets-malachi,lostangels-rob,camdenhells-sean,lostangels-sophie,camdenhells-jess,hotshots-marine,hotshots-weronika,hotshots-harrison,hotshots-daniel,hotshots-sharad
20191031-1845-hotshots-camdenhells,hotshots,0,3,0d80fb16-3aab-44ef-ab0e-68e209c1878c,ThrowIn,hotshots-daniel,hotshots-harrison,TwoPointShotMade,TwoPointShotMade,False,hotshots-sharad,2,2,0,False,4,3,0,1,0,0,hotshots-marine,hotshots-weronika,hotshots-harrison,hotshots-daniel,hotshots-sharad,rockets-malachi,lostangels-rob,camdenhells-sean,lostangels-sophie,camdenhells-jess
20191031-1845-hotshots-camdenhells,camdenhells,1,4,0b090400-a913-43ad-a2a1-c8de4a66ddf0,ThrowIn,rockets-malachi,camdenhells-sean,TwoPointShotMade,FreeThrowMade,False,rockets-malachi,2,0,0,False,3,3,0,1,0,2,rockets-malachi,lostangels-rob,camdenhells-sean,lostangels-sophie,camdenhells-jess,hotshots-marine,hotshots-weronika,hotshots-harrison,hotshots-daniel,hotshots-sharad
20191031-1845-hotshots-camdenhells,hotshots,0,5,c3efeb8b-a96a-4208-9e01-754317937035,ThrowIn,hotshots-sharad,hotshots-harrison,FreeThrowMade,DoubleDribble,True,hotshots-daniel,0,2,0,False,3,3,0,0,0,0,hotshots-marine,hotshots-weronika,hotshots-harrison,hotshots-daniel,hotshots-sharad,rockets-malachi,lostangels-rob,camdenhells-sean,lostangels-sophie,camdenhells-jess
20191031-1845-hotshots-camdenhells,camdenhells,1,6,9563f568-abaa-4086-9abf-96d484d03b3e,ThrowIn,lostangels-sophie,camdenhells-sean,DoubleDribble,TwoPointShotMade,False,rockets-malachi,2,0,2,True,8,4,1,2,0,0,rockets-malachi,lostangels-rob,camdenhells-sean,lostangels-sophie,camdenhells-jess,hotshots-marine,hotshots-weronika,hotshots-harrison,hotshots-daniel,hotshots-sharad
20191031-1845-hotshots-camdenhells,hotshots,0,7,f017f6ba-f8bc-4fcd-aee7-5c03a1eee2ce,ThrowIn,hotshots-harrison,hotshots-harrison,TwoPointShotMade,TwoPointShotMissed,False,hotshots-marine,0,0,0,False,1,1,0,1,0,0,hotshots-marine,hotshots-weronika,hotshots-harrison,hotshots-daniel,hotshots-sharad,rockets-malachi,lostangels-rob,camdenhells-sean,lostangels-sophie,camdenhells-jess
20191031-1845-hotshots-camdenhells,camdenhells,1,8,f2be3407-7b29-4acc-9567-570a9f04c8c1,PlayerControl,lostangels-rob,lostangels-rob,TwoPointShotMissed,BadPass,True,camdenhells-sean,0,2,0,False,1,2,0,0,0,0,rockets-malachi,lostangels-rob,camdenhells-sean,lostangels-sophie,camdenhells-jess,hotshots-marine,hotshots-weronika,hotshots-harrison,hotshots-daniel,hotshots-sharad
20191031-1845-hotshots-camdenhells,hotshots,0,9,afaba564-dacf-450f-b63a-936dc6678c15,Steal,hotshots-marine,hotshots-marine,BadPass,TwoPointShotMade,False,hotshots-weronika,2,2,0,True,1,2,0,1,0,0,hotshots-marine,hotshots-weronika,hotshots-harrison,hotshots-daniel,hotshots-sharad,rockets-malachi,lostangels-rob,camdenhells-sean,lostangels-sophie,camdenhells-jess
20191031-1845-hotshots-camdenhells,camdenhells,1,10,af12c2d7-5bab-424b-aa86-face30237e09,ThrowIn,rockets-malachi,camdenhells-sean,TwoPointShotMade,TwoPointShotMade,False,lostangels-rob,2,0,0,False,2,2,0,1,0,0,rockets-malachi,lostangels-rob,camdenhells-sean,lostangels-sophie,camdenhells-jess,hotshots-marine,hotshots-weronika,hotshots-harrison,hotshots-daniel,hotshots-sharad
