team,player,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,fd,pir
dropbears,timekeeper-naomi,2,1,9,11.1,0,0,0,0,0,0,2,3,5,2,2,2,2,0,2,0,1
dropbears,dropbears-ed,10,3,7,42.9,2,5,40.0,2,4,50.0,1,3,4,2,2,2,0,0,1,2,11
dropbears,dropbears-mary,16,6,19,31.6,2,8,25.0,2,2,100.0,3,0,3,2,3,1,0,1,0,1,6
dropbears,dropbears-ray,8,2,3,66.7,1,1,100.0,3,4,75.0,1,4,5,3,3,5,0,0,1,4,19
dropbears,dropbears-andrew,2,1,5,20.0,0,1,0.0,0,0,0,1,2,3,0,0,0,0,0,3,0,-2
dropbears,rockets-paul,8,4,7,57.1,0,0,0,0,2,0.0,2,3,5,0,3,4,1,0,1,1,10
dropbears,dropbears,46,17,50,34.0,5,15,33.3,7,12,58.3,10,18,28,9,13,14,3,1,9,8,47
lions,lions-diego,8,4,10,40.0,0,2,0.0,0,0,0,2,2,4,4,5,2,0,0,1,0,6
lions,lions-kata,11,5,17,29.4,0,1,0.0,1,1,100.0,0,2,2,2,3,2,1,1,2,3,3
lions,lions-saulius,9,2,8,25.0,0,0,0,5,7,71.4,5,5,10,2,5,3,0,0,1,4,14
lions,lions-gus,6,2,8,25.0,0,1,0.0,2,4,50.0,4,10,14,0,1,0,0,2,2,2,9
lions,lions-alfie,2,1,3,33.3,0,0,0,0,0,0,3,2,5,0,5,1,0,0,1,0,0
lions,kissmygrass-steph,4,2,3,66.7,0,0,0,0,0,0,1,1,2,2,3,1,0,0,0,0,5
lions,lions,40,16,49,32.7,0,4,0.0,8,12,66.7,16,25,41,10,22,9,1,3,8,9,40
