team,player,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,fd,pir
rockets,rockets-paul,4,1,6,16.7,0,0,0,2,2,100.0,2,1,3,5,3,5,0,0,1,4,12
rockets,rockets-darnell,14,7,16,43.8,0,2,0.0,0,1,0.0,2,5,7,1,1,3,0,0,3,1,12
rockets,rockets-thriston,8,4,8,50.0,0,0,0,0,0,0,3,10,13,1,2,2,1,0,3,0,16
rockets,rockets-janis,12,4,11,36.4,2,5,40.0,2,4,50.0,2,7,9,4,4,5,0,0,0,2,19
rockets,rockets-patricia,0,0,3,0.0,0,0,0,0,0,0,0,1,1,2,1,0,0,1,0,0,-2
rockets,rockets-anna,2,1,7,14.3,0,0,0,0,0,0,3,1,4,1,1,0,1,0,1,0,0
rockets,rockets-alex,5,2,5,40.0,0,0,0,1,2,50.0,0,1,1,1,0,2,0,0,2,1,4
rockets,total,45,19,56,33.9,2,7,28.6,5,9,55.6,12,26,38,15,13,17,2,1,11,9,60
dropbears,dropbears-hayley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,-2
dropbears,dropbears-ed,5,2,5,40.0,0,0,0,1,2,50.0,0,2,2,0,2,2,0,0,0,3,6
dropbears,dropbears-mary,0,0,13,0.0,0,5,0.0,0,0,0,1,0,1,0,6,1,0,1,0,0,-18
dropbears,dropbears-ray,9,2,5,40.0,0,1,0.0,5,7,71.4,2,8,10,1,2,4,1,0,2,5,21
dropbears,dropbears-jordan,0,0,3,0.0,0,0,0,0,0,0,0,3,3,0,4,0,0,1,1,1,-5
dropbears,dropbears-martin,11,5,8,62.5,1,1,100.0,0,0,0,3,7,10,0,3,1,0,0,5,1,12
dropbears,burritos-tom,2,1,3,33.3,0,2,0.0,0,0,0,1,3,4,0,0,2,0,0,0,0,6
dropbears,lions-mychelle,0,0,7,0.0,0,2,0.0,0,0,0,0,2,2,0,3,1,0,0,0,0,-7
dropbears,total,27,10,44,22.7,1,11,9.1,6,9,66.7,9,28,37,1,23,11,1,2,9,11,17
