team,player,3fga,3fgm,3fg%,2fga,2fgm,2fg%,fga,fgm,fg%,fta,ftm,ft%,pts,orb,drb,treb,ast,blk,to,stl,fol,a!,eff,tim,
lostangels,lostangels-aldis,2,0,0%,2,0,0%,4,0,0%,0,0,0%,0,0,2,2,1,0,4,2,0,0,-3,0:06,
lostangels,lostangels-carlos,0,0,0%,9,6,67%,9,6,67%,4,1,25%,13,5,6,11,1,0,1,0,0,0,18,11:04,
lostangels,lostangels-carlotta,0,0,0%,4,0,0%,4,0,0%,0,0,0%,0,1,1,2,1,0,1,0,0,0,-2,7:33,
lostangels,lostangels-daria,4,0,0%,1,0,0%,5,0,0%,0,0,0%,0,1,0,1,0,0,0,2,0,0,-2,7:23,
lostangels,lostangels-jazeps,1,0,0%,5,1,20%,6,1,17%,0,0,0%,2,2,1,3,5,2,4,2,2,0,5,11:04,
lostangels,lostangels-john,0,0,0%,3,1,33%,3,1,33%,0,0,0%,2,0,3,3,0,0,2,1,1,0,2,2:55,
lostangels,lostangels-rob,0,0,0%,11,8,73%,11,8,73%,4,4,100%,20,2,7,9,0,0,2,0,0,0,24,8:21,
lostangels,lostangels-rolands,0,0,0%,6,1,17%,6,1,17%,2,2,100%,4,5,2,7,1,1,3,0,0,0,5,0:00,
lostangels,lostangels-sophie,0,0,0%,5,0,0%,5,0,0%,0,0,0%,0,2,4,6,1,0,1,2,2,0,3,7:24,
lostangels,lostangels,7,0,0%,46,17,37%,53,17,32%,10,7,70%,41,18,26,44,10,3,18,9,5,0,50,24:15,
lions,lions,18,5,28%,33,6,18%,51,11,22%,6,3,50%,30,9,12,21,3,3,11,9,8,0,12,24:15,
