game_id,side_id,team_id,opponent_id,fgm,fga,tpm,tpa,ftm,fta,pts,oreb,dreb,reb,ast,stl,tov,blk,pf,player_id,enthusiasm_rating,pir
20190801-1845-greenmachine-lions,0,greenmachine,lions,6,10,0,0,1,6,13,2,11,13,1,3,4,2,2,greenmachine-alex,41,17
20190801-1845-greenmachine-lions,0,greenmachine,lions,2,4,0,0,0,0,4,0,2,2,1,0,3,0,1,greenmachine-allison,11,1
20190801-1845-greenmachine-lions,0,greenmachine,lions,6,12,0,0,0,0,12,0,2,2,4,4,4,0,1,greenmachine-andris,27,11
20190801-1845-greenmachine-lions,0,greenmachine,lions,1,6,0,0,0,0,2,0,4,4,0,0,3,0,0,greenmachine-iestyn,13,-2
20190801-1845-greenmachine-lions,0,greenmachine,lions,3,12,1,3,0,0,7,0,6,6,2,3,3,2,2,greenmachine-itai,30,6
20190801-1845-greenmachine-lions,0,greenmachine,lions,0,2,0,0,0,0,0,0,0,0,1,1,4,0,0,greenmachine-marina,8,-4
20190801-1845-greenmachine-lions,0,greenmachine,lions,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,greenmachine-victoria,4,0
20190801-1845-greenmachine-lions,1,lions,greenmachine,2,4,0,0,0,2,4,3,5,8,2,2,5,0,1,lions-alfie,24,6
20190801-1845-greenmachine-lions,1,lions,greenmachine,2,9,0,1,0,2,4,1,5,6,1,3,5,0,1,lions-diego,27,-1
20190801-1845-greenmachine-lions,1,lions,greenmachine,6,14,1,1,1,2,14,1,1,2,2,4,2,0,1,lions-kata,27,10
20190801-1845-greenmachine-lions,1,lions,greenmachine,1,9,0,1,1,2,3,2,0,2,1,3,4,0,2,lions-mychelle,23,-6
20190801-1845-greenmachine-lions,1,lions,greenmachine,1,7,0,2,3,4,5,3,13,16,1,3,1,0,5,lions-saulius,37,12
20190801-1845-greenmachine-lions,1,lions,greenmachine,4,11,4,9,0,0,12,0,2,2,4,1,2,0,0,lions-tony,20,10
20190801-1930-dropbears-lostangels,1,lostangels,dropbears,5,12,2,4,0,1,12,2,4,6,0,0,0,0,1,lostangels-aldis,20,9
20190801-1930-dropbears-lostangels,1,lostangels,dropbears,7,10,0,0,0,0,14,5,6,11,1,0,2,3,2,lostangels-carlos,29,22
20190801-1930-dropbears-lostangels,1,lostangels,dropbears,2,8,0,0,0,0,4,0,3,3,2,0,0,0,0,lostangels-carlotta,13,3
20190801-1930-dropbears-lostangels,1,lostangels,dropbears,0,4,0,4,0,0,0,0,0,0,2,1,0,0,2,lostangels-daria,9,-3
20190801-1930-dropbears-lostangels,1,lostangels,dropbears,5,12,1,2,3,5,14,2,4,6,2,1,4,0,0,lostangels-rob,30,10
20190801-1930-dropbears-lostangels,1,lostangels,dropbears,1,4,0,0,0,0,2,5,6,11,2,0,1,3,0,lostangels-rolands,21,14
20190801-1930-dropbears-lostangels,1,lostangels,dropbears,0,4,0,0,2,2,2,0,0,0,2,2,1,0,2,lostangels-sophie,13,-1
20190801-2015-camdenhells-rockets,0,camdenhells,rockets,1,3,0,2,0,0,2,1,2,3,1,3,1,0,0,camdenhells-davidgalindo,11,6
20190801-2015-camdenhells-rockets,0,camdenhells,rockets,1,6,0,1,0,0,2,0,1,1,0,1,3,0,0,camdenhells-levent,11,-4
20190801-2015-camdenhells-rockets,0,camdenhells,rockets,4,6,0,0,0,1,8,0,2,2,1,3,3,0,0,camdenhells-sean,16,8
20190801-2015-camdenhells-rockets,0,camdenhells,rockets,4,11,0,0,0,0,8,3,5,8,2,2,1,0,4,lions-alfie,28,8
20190801-2015-camdenhells-rockets,0,camdenhells,rockets,1,3,0,0,0,0,2,0,0,0,0,0,1,0,0,lostangels-carlotta,4,-1
20190801-2015-camdenhells-rockets,0,camdenhells,rockets,2,6,0,0,1,1,5,0,2,2,1,0,1,0,1,lostangels-sophie,12,2
20190801-2015-camdenhells-rockets,0,camdenhells,rockets,0,4,0,0,0,0,0,0,2,2,2,0,2,0,0,rockets-anna,10,-2
20190801-2015-camdenhells-rockets,0,camdenhells,rockets,2,6,0,0,5,6,9,2,8,10,0,0,1,0,0,rockets-malachi,23,13
20190801-2015-camdenhells-rockets,1,rockets,camdenhells,0,3,0,1,0,0,0,0,0,0,0,0,2,0,0,lostangels-daria,5,-5
20190801-2015-camdenhells-rockets,1,rockets,camdenhells,1,10,0,2,0,0,2,1,4,5,1,1,1,0,3,rockets-alex,21,-4
20190801-2015-camdenhells-rockets,1,rockets,camdenhells,0,0,0,0,0,0,0,0,1,1,0,3,1,0,0,rockets-daisy,5,3
20190801-2015-camdenhells-rockets,1,rockets,camdenhells,0,8,0,0,2,3,2,4,2,6,1,1,6,0,1,rockets-darnell,26,-6
20190801-2015-camdenhells-rockets,1,rockets,camdenhells,4,10,0,1,2,4,10,2,1,3,1,3,3,0,1,rockets-marc,25,5
20190801-2015-camdenhells-rockets,1,rockets,camdenhells,1,2,0,0,1,2,3,1,2,3,0,1,2,0,2,rockets-patricia,12,1
20190801-2015-camdenhells-rockets,1,rockets,camdenhells,6,13,0,0,0,0,12,5,7,12,0,1,3,1,2,rockets-thriston,32,14
20190801-2100-bbcballers-burritos,1,burritos,bbcballers,7,13,0,0,2,2,16,3,7,10,1,3,1,1,0,burritos-alex,31,24
20190801-2100-bbcballers-burritos,1,burritos,bbcballers,2,7,0,4,0,0,4,2,4,6,2,3,4,0,0,burritos-allen,22,6
20190801-2100-bbcballers-burritos,1,burritos,bbcballers,2,9,0,0,0,0,4,0,3,3,0,0,0,0,0,burritos-armelle,12,0
20190801-2100-bbcballers-burritos,1,burritos,bbcballers,2,7,0,2,0,0,4,1,12,13,4,1,3,0,0,burritos-stuart,28,14
20190801-2100-bbcballers-burritos,1,burritos,bbcballers,5,12,0,5,0,0,10,0,3,3,3,3,2,0,0,burritos-tom,23,10
20190801-2100-bbcballers-burritos,1,burritos,bbcballers,8,18,0,0,0,2,16,4,8,12,3,3,3,0,1,burritos-wouter,42,18
20190808-1930-bbcballers-camdenhells,0,bbcballers,camdenhells,5,12,1,3,0,0,11,0,1,1,1,0,5,0,3,bbcballers-amir,22,-2
20190808-1930-bbcballers-camdenhells,0,bbcballers,camdenhells,0,5,0,1,0,0,0,3,5,8,1,3,3,0,3,bbcballers-finn,23,1
20190808-1930-bbcballers-camdenhells,0,bbcballers,camdenhells,0,9,0,0,0,0,0,0,1,1,0,1,2,0,0,bbcballers-lisa,13,-9
