player_id,team_id,num_games,pts,avg_pts,fgm,fga,fg%,avg_fgm,avg_fga,3pm,3pa,3p%,avg_3pm,avg_3pa,2pm,2pa,2p%,avg_2pm,avg_2pa,ftm,fta,ft%,avg_ftm,avg_fta,oreb,dreb,reb,avg_oreb,avg_dreb,avg_reb,ast,avg_ast,stl,avg_stl,tov,avg_tov,blk,avg_blk,pf,avg_pf,pir,avg_pir
bbcballers-alexandra,bbcballers,1,0,0.0,0,4,0.0,0.0,4.0,0,0,,0.0,0.0,0,4,0.0,0.0,4.0,0,0,,0.0,0.0,0,2,2,0.0,2.0,2.0,0,0.0,0,0.0,2,2.0,0,0.0,0,0.0,-4,-4.0
bbcballers-amir,bbcballers,2,16,8.0,7,22,0.318181818181818,3.5,11.0,2,6,0.333333333333333,1.0,3.0,5,16,0.3125,2.5,8.0,0,0,,0.0,0.0,0,6,6,0.0,3.0,3.0,4,2.0,1,0.5,8,4.0,0,0.0,6,3.0,-2,-1.0
bbcballers-arthur,bbcballers,3,23,7.66666666666667,9,38,0.236842105263158,3.0,12.6666666666667,3,18,0.166666666666667,1.0,6.0,6,20,0.3,2.0,6.66666666666667,2,6,0.333333333333333,0.666666666666667,2.0,0,5,5,0.0,1.66666666666667,1.66666666666667,7,2.33333333333333,4,1.33333333333333,7,2.33333333333333,0,0.0,3,1.0,-4,-1.33333333333333
bbcballers-finn,bbcballers,1,0,0.0,0,5,0.0,0.0,5.0,0,1,0.0,0.0,1.0,0,4,0.0,0.0,4.0,0,0,,0.0,0.0,3,5,8,3.0,5.0,8.0,1,1.0,3,3.0,3,3.0,0,0.0,3,3.0,1,1.0
bbcballers-james,bbcballers,3,10,3.33333333333333,4,22,0.181818181818182,1.33333333333333,7.33333333333333,1,2,0.5,0.333333333333333,0.666666666666667,3,20,0.15,1.0,6.66666666666667,1,2,0.5,0.333333333333333,0.666666666666667,8,12,20,2.66666666666667,4.0,6.66666666666667,1,0.333333333333333,0,0.0,7,2.33333333333333,1,0.333333333333333,1,0.333333333333333,5,1.66666666666667
bbcballers-lisa,bbcballers,4,12,3.0,6,43,0.13953488372093,1.5,10.75,0,0,,0.0,0.0,6,43,0.13953488372093,1.5,10.75,0,2,0.0,0.0,0.5,4,5,9,1.0,1.25,2.25,2,0.5,5,1.25,8,2.0,0,0.0,0,0.0,-19,-4.75
bbcballers-nathan,bbcballers,1,3,3.0,1,2,0.5,1.0,2.0,1,1,1.0,1.0,1.0,0,1,0.0,0.0,1.0,0,0,,0.0,0.0,2,2,4,2.0,2.0,4.0,0,0.0,0,0.0,4,4.0,0,0.0,1,1.0,1,1.0
bbcballers-saulius,bbcballers,2,8,4.0,4,8,0.5,2.0,4.0,0,0,,0.0,0.0,4,8,0.5,2.0,4.0,0,0,,0.0,0.0,1,3,4,0.5,1.5,2.0,1,0.5,1,0.5,2,1.0,0,0.0,2,1.0,6,3.0
bbcballers-suhail,bbcballers,4,0,0.0,0,6,0.0,0.0,1.5,0,3,0.0,0.0,0.75,0,3,0.0,0.0,0.75,0,0,,0.0,0.0,7,21,28,1.75,5.25,7.0,1,0.25,2,0.5,9,2.25,1,0.25,5,1.25,12,3.0
burritos-alex,burritos,6,103,17.1666666666667,41,75,0.546666666666667,6.83333333333333,12.5,9,21,0.428571428571429,1.5,3.5,32,54,0.592592592592593,5.33333333333333,9.0,12,15,0.8,2.0,2.5,7,31,38,1.16666666666667,5.16666666666667,6.33333333333333,15,2.5,12,2.0,7,1.16666666666667,1,0.166666666666667,4,0.666666666666667,121,20.1666666666667
burritos-allen,burritos,6,29,4.83333333333333,11,43,0.255813953488372,1.83333333333333,7.16666666666667,4,19,0.210526315789474,0.666666666666667,3.16666666666667,7,24,0.291666666666667,1.16666666666667,4.0,3,4,0.75,0.5,0.666666666666667,15,19,34,2.5,3.16666666666667,5.66666666666667,17,2.83333333333333,12,2.0,8,1.33333333333333,0,0.0,2,0.333333333333333,49,8.16666666666667
burritos-armelle,burritos,6,17,2.83333333333333,8,26,0.307692307692308,1.33333333333333,4.33333333333333,0,1,0.0,0.0,0.166666666666667,8,25,0.32,1.33333333333333,4.16666666666667,1,2,0.5,0.166666666666667,0.333333333333333,6,7,13,1.0,1.16666666666667,2.16666666666667,4,0.666666666666667,2,0.333333333333333,4,0.666666666666667,0,0.0,2,0.333333333333333,11,1.83333333333333
burritos-stuart,burritos,5,31,6.2,11,45,0.244444444444444,2.2,9.0,5,23,0.217391304347826,1.0,4.6,6,22,0.272727272727273,1.2,4.4,4,8,0.5,0.8,1.6,7,37,44,1.4,7.4,8.8,11,2.2,5,1.0,11,2.2,1,0.2,2,0.4,41,8.2
burritos-suzi,burritos,3,16,5.33333333333333,7,17,0.411764705882353,2.33333333333333,5.66666666666667,2,6,0.333333333333333,0.666666666666667,2.0,5,11,0.454545454545455,1.66666666666667,3.66666666666667,0,2,0.0,0.0,0.666666666666667,2,2,4,0.666666666666667,0.666666666666667,1.33333333333333,4,1.33333333333333,3,1.0,6,2.0,0,0.0,0,0.0,9,3.0
burritos-sylwia,burritos,4,31,7.75,15,38,0.394736842105263,3.75,9.5,0,0,,0.0,0.0,15,38,0.394736842105263,3.75,9.5,1,2,0.5,0.25,0.5,4,2,6,1.0,0.5,1.5,4,1.0,3,0.75,0,0.0,0,0.0,1,0.25,19,4.75
burritos-tom,burritos,5,41,8.2,15,35,0.428571428571429,3.0,7.0,7,24,0.291666666666667,1.4,4.8,8,11,0.727272727272727,1.6,2.2,4,4,1.0,0.8,0.8,2,24,26,0.4,4.8,5.2,28,5.6,16,3.2,15,3.0,2,0.4,3,0.6,75,15.0
burritos-tom,dropbears,1,2,2.0,1,3,0.333333333333333,1.0,3.0,0,2,0.0,0.0,2.0,1,1,1.0,1.0,1.0,0,0,,0.0,0.0,1,3,4,1.0,3.0,4.0,0,0.0,2,2.0,0,0.0,0,0.0,0,0.0,6,6.0
burritos-wouter,burritos,4,80,20.0,32,65,0.492307692307692,8.0,16.25,0,1,0.0,0.0,0.25,32,64,0.5,8.0,16.0,16,29,0.551724137931034,4.0,7.25,16,34,50,4.0,8.5,12.5,6,1.5,5,1.25,9,2.25,1,0.25,9,2.25,78,19.5
camdenhells-amy,camdenhells,1,4,4.0,2,4,0.5,2.0,4.0,0,0,,0.0,0.0,2,4,0.5,2.0,4.0,0,0,,0.0,0.0,1,1,2,1.0,1.0,2.0,0,0.0,0,0.0,1,1.0,0,0.0,1,1.0,2,2.0
camdenhells-amy,rockets,1,0,0.0,0,1,0.0,0.0,1.0,0,0,,0.0,0.0,0,1,0.0,0.0,1.0,0,0,,0.0,0.0,0,0,0,0.0,0.0,0.0,1,1.0,2,2.0,1,1.0,0,0.0,0,0.0,1,1.0
