game_id,side_id,team_id,opponent_id,fgm,fga,tpm,tpa,ftm,fta,pts,oreb,dreb,reb,ast,stl,tov,blk,pf,opponent_pts,possessions,defensive_eff,offensive_eff
20190801-1845-greenmachine-lions,0,greenmachine,lions,18,47,1,4,1,6,38,2,26,0,10,11,22,4,6,42,66.8544,62.82309017805859,56.83993873252919
20190801-1845-greenmachine-lions,1,lions,greenmachine,16,54,5,14,5,12,42,10,26,0,11,16,19,0,10,38,65.5488,57.972075766451866,64.07439953134153
20190801-1930-dropbears-lostangels,0,dropbears,lostangels,8,45,3,12,3,4,22,9,17,0,2,4,10,3,12,48,45.849599999999995,104.69011725293133,47.98297040759353
20190801-1930-dropbears-lostangels,1,lostangels,dropbears,20,54,3,10,5,8,48,14,23,0,11,4,8,6,7,22,49.459199999999996,44.481107660455486,97.0496894409938
20190801-2015-camdenhells-rockets,0,camdenhells,rockets,15,40,0,6,6,8,36,7,19,0,5,4,10,0,5,29,44.6592,64.93622814560047,80.61049011177988
20190801-2015-camdenhells-rockets,1,rockets,camdenhells,12,46,0,4,5,9,29,13,17,0,3,10,18,1,9,36,52.761599999999994,68.23144104803495,54.96421639980592
20190801-2100-bbcballers-burritos,0,bbcballers,burritos,7,43,3,20,1,2,18,5,12,0,3,5,15,1,2,54,51.7248,104.39866369710467,34.799554565701555
20190801-2100-bbcballers-burritos,1,burritos,bbcballers,26,66,0,11,2,4,54,10,37,0,13,13,13,1,1,18,67.92960000000001,26.498021481062743,79.49406444318822
20190808-1930-bbcballers-camdenhells,0,bbcballers,camdenhells,11,50,5,14,0,0,27,6,18,0,3,7,13,1,9,50,54.72,91.37426900584795,49.3421052631579
20190808-1930-bbcballers-camdenhells,1,camdenhells,bbcballers,23,58,0,4,4,15,50,18,24,0,8,9,10,0,1,27,54.33599999999999,49.690812720848065,92.02002355712604
20190808-2015-greenmachine-rockets,0,greenmachine,rockets,9,35,2,11,4,10,24,3,6,0,2,7,8,4,7,51,42.623999999999995,119.65090090090091,56.30630630630631
20190808-2015-greenmachine-rockets,1,rockets,greenmachine,22,52,0,2,7,13,51,15,21,0,12,9,11,3,7,24,51.5712,46.53760238272525,98.89240506329115
20190808-2100-lions-lostangels,0,lions,lostangels,11,51,5,18,3,6,30,9,12,0,3,9,11,3,8,41,53.4144,76.75832734243949,56.1646297627606
20190808-2100-lions-lostangels,1,lostangels,lions,17,53,0,7,7,10,41,18,26,0,10,9,18,3,5,30,55.104000000000006,54.442508710801384,74.4047619047619
