,game_id,side_id,team_id,opponent_id,fgm,fga,tpm,tpa,ftm,fta,pts,oreb,dreb,reb,ast,stl,tov,blk,pf,opponent_pts,x_factor,possessions,defensive_eff,offensive_eff,outcome,p_greenmachine_alex,p_greenmachine_allison,p_greenmachine_andris,p_greenmachine_iestyn,p_greenmachine_itai,p_greenmachine_marina,p_greenmachine_victoria,p_lions_alfie,p_lions_diego,p_lions_kata,p_lions_mychelle,p_lions_saulius,p_lions_tony,p_lostangels_aldis,p_lostangels_carlos,p_lostangels_carlotta,p_lostangels_daria,p_lostangels_rob,p_lostangels_rolands,p_lostangels_sophie,p_camdenhells_davidgalindo,p_camdenhells_levent,p_camdenhells_sean,p_rockets_anna,p_rockets_malachi,p_rockets_alex,p_rockets_daisy,p_rockets_darnell,p_rockets_marc,p_rockets_patricia,p_rockets_thriston,p_burritos_alex,p_burritos_allen,p_burritos_armelle,p_burritos_stuart,p_burritos_tom,p_burritos_wouter,p_bbcballers_amir,p_bbcballers_finn,p_bbcballers_lisa,p_bbcballers_saulius,p_bbcballers_suhail,p_lions_foley,p_lostangels_jazeps,p_lostangels_john,p_dropbears_mary,p_dropbears_andrew,p_dropbears_ed,p_dropbears_ray,p_rockets_paul,p_timekeeper_naomi,p_kissmygrass_steph,p_lions_gus,p_rockets_janis,p_dropbears_hayley,p_dropbears_jordan,p_dropbears_martin,p_burritos_sylwia,p_greenmachine_ahmed,p_camdenhells_lauren,p_camdenhells_nick,p_bbcballers_alexandra,p_bbcballers_arthur,p_bbcballers_james,p_lions_obi,p_lions_telle,p_burritos_suzi,p_greenmachine_kelli,p_bbcballers_nathan,p_saturdays_claire,p_lions_chris,p_greenmachine_david,p_greenmachine_sergio,p_camdenhells_aimee,p_dropbears_p2
0,20190801-1845-greenmachine-lions,0,greenmachine,lions,18,47,1,4,1,6,38,2,26,28,10,11,22,4,6,42,,66.8544,62.82309017805859,56.83993873252919,D,Y,Y,Y,Y,Y,Y,Y,OPP,OPP,OPP,OPP,OPP,OPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20190801-1845-greenmachine-lions,1,lions,greenmachine,16,54,5,14,5,12,42,10,26,36,11,16,19,0,10,38,,65.5488,57.97207576645185,64.07439953134153,W,OPP,OPP,OPP,OPP,OPP,OPP,OPP,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20190801-1930-dropbears-lostangels,0,dropbears,lostangels,8,45,3,12,3,4,22,9,17,26,2,4,10,3,12,48,,45.8496,104.69011725293132,47.98297040759353,D,,,,,,,,,,,,,,OPP,OPP,OPP,OPP,OPP,OPP,OPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,20190801-1930-dropbears-lostangels,1,lostangels,dropbears,20,54,3,10,5,8,48,14,23,37,11,4,8,6,7,22,,49.4592,44.48110766045549,97.0496894409938,W,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20190801-2015-camdenhells-rockets,0,camdenhells,rockets,15,40,0,6,6,8,36,7,19,26,5,4,10,0,5,29,,44.6592,64.93622814560047,80.61049011177987,W,,,,,,,,Y,,,,,,,,Y,OPP,,,Y,Y,Y,Y,Y,Y,OPP,OPP,OPP,OPP,OPP,OPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,20190801-2015-camdenhells-rockets,1,rockets,camdenhells,12,46,0,4,5,9,29,13,17,30,3,10,18,1,9,36,,52.7616,68.23144104803495,54.96421639980592,D,,,,,,,,OPP,,,,,,,,OPP,Y,,,OPP,OPP,OPP,OPP,OPP,OPP,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20190801-2100-bbcballers-burritos,0,bbcballers,burritos,7,43,3,20,1,2,18,5,12,17,3,5,15,1,2,54,,51.7248,104.39866369710468,34.799554565701555,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPP,OPP,OPP,OPP,OPP,OPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,20190801-2100-bbcballers-burritos,1,burritos,bbcballers,26,66,0,11,2,4,54,10,37,47,13,13,13,1,1,18,,67.92960000000001,26.498021481062747,79.49406444318822,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,20190808-1930-bbcballers-camdenhells,0,bbcballers,camdenhells,11,50,5,14,0,0,27,6,18,24,3,7,13,1,9,50,,54.72,91.37426900584795,49.342105263157904,D,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20190808-1930-bbcballers-camdenhells,1,camdenhells,bbcballers,23,58,0,4,4,15,50,18,24,42,8,9,10,0,1,27,,54.33599999999999,49.69081272084807,92.02002355712605,W,,,,,,,,,,,OPP,,,,,,,,,,,,,,,,,,,,,,,,,,,OPP,OPP,OPP,OPP,OPP,OPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20190808-2015-greenmachine-rockets,0,greenmachine,rockets,9,35,2,11,4,10,24,3,6,9,2,7,8,4,7,51,,42.624,119.65090090090092,56.30630630630631,D,,,,,,,,,,,,,,,,,,,,,,,,OPP,OPP,,OPP,OPP,OPP,OPP,OPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,20190808-2015-greenmachine-rockets,1,rockets,greenmachine,22,52,0,2,7,13,51,15,21,36,12,9,11,3,7,24,,51.5712,46.53760238272525,98.89240506329115,W,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20190808-2100-lions-lostangels,0,lions,lostangels,11,51,5,18,3,6,30,9,12,21,3,9,11,3,8,41,,53.4144,76.75832734243949,56.164629762760605,D,,,,,,,,,,,,,,OPP,OPP,OPP,OPP,OPP,OPP,OPP,,,,,,,,,,,,,,,,,,,,,,,,OPP,OPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,20190808-2100-lions-lostangels,1,lostangels,lions,17,53,0,7,7,10,41,18,26,44,10,9,18,3,5,30,,55.104000000000006,54.442508710801384,74.40476190476191,W,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,20190815-2015-lostangels-rockets,0,lostangels,rockets,21,51,3,9,1,4,46,8,23,31,17,13,12,4,8,25,,54.4896,45.880314775663614,84.41977918722105,W,,,,,,,,,,,,,,Y,,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,20190815-2015-lostangels-rockets,1,rockets,lostangels,11,47,0,7,3,7,25,7,18,25,4,6,16,0,4,46,,56.7168,81.10471676822388,44.07865041751298,D,,,,,,,,,,,,,,OPP,,OPP,OPP,OPP,OPP,,,,,,,,,,,,,,,,,,,,,,,,,OPP,OPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,20190822-1845-lions-dropbears,0,lions,dropbears,16,49,0,4,8,12,40,16,25,41,10,9,22,1,8,46,,57.8688,79.49015704490157,69.12187569121876,D,,,,,,,,Y,Y,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPP,OPP,OPP,OPP,OPP,OPP,Y,Y,,,,,,,,,,,,,,,,,,,,,,
17,20190822-1845-lions-dropbears,1,dropbears,lions,17,50,5,15,7,12,46,10,18,28,9,14,13,3,9,40,,55.9488,71.49393731411577,82.21802791123314,W,,,,,,,,OPP,OPP,OPP,,OPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,OPP,OPP,,,,,,,,,,,,,,,,,,,,,,
18,20190822-2015-lostangels-camdenhells,0,lostangels,camdenhells,23,64,1,10,5,7,52,15,31,46,14,15,10,6,3,22,,59.5968,36.91473367697595,87.25300687285223,W,,,,,,,,,,,,,,Y,,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20190822-2015-lostangels-camdenhells,1,camdenhells,lostangels,9,52,2,10,2,4,22,7,18,25,5,3,12,3,5,52,,56.40960000000001,92.18289085545722,39.00045382346267,D,,,,,,,,,,,,,,OPP,,OPP,OPP,OPP,OPP,OPP,,,,,,,,,,,,,,,,,,,,,,,,OPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20190822-2100-rockets-burritos,0,rockets,burritos,12,45,0,5,3,7,27,13,24,37,3,8,19,2,18,42,,51.9168,80.89866863905327,52.00628698224853,D,,,,,,,,,,,,,,,,OPP,,,,OPP,,,,Y,Y,Y,,,Y,Y,Y,OPP,OPP,,,OPP,OPP,,,,,,,,,,,,,Y,OPP,,,Y,,,,,,,,,,,,,,,,,,,,,
