team_id,opponent_strength,num_games,avg_possessions,avg_defensive_eff,avg_offensive_eff,pts,opponent_pts,avg_pts,avg_opponent_pts,fgm,fga,fg%,avg_fgm,avg_fga,3pm,3pa,3p%,avg_3pm,avg_3pa,2pm,2pa,2p%,avg_2pm,avg_2pa,ftm,fta,ft%,avg_ftm,avg_fta,oreb,dreb,reb,avg_oreb,avg_dreb,avg_reb,ast,avg_ast,stl,avg_stl,tov,avg_tov,blk,avg_blk,pf,avg_pf
bbcballers,bottom4,3,59.6864,91.6487188705796,46.8248837256064,84,165,28.0,55.0,34,166,0.204819277108434,11.3333333333333,55.3333333333333,14,45,0.311111111111111,4.66666666666667,15.0,20,121,0.165289256198347,6.66666666666667,40.3333333333333,2,8,0.25,0.666666666666667,2.66666666666667,22,61,59,7.33333333333333,20.3333333333333,19.6666666666667,13,4.33333333333333,17,5.66666666666667,39,13.0,3,1.0,19,6.33333333333333
bbcballers,top4,3,52.288,115.849875693475,41.8373498494836,66,182,22.0,60.6666666666667,27,136,0.198529411764706,9.0,45.3333333333333,7,37,0.189189189189189,2.33333333333333,12.3333333333333,20,99,0.202020202020202,6.66666666666667,33.0,5,10,0.5,1.66666666666667,3.33333333333333,23,46,26,7.66666666666667,15.3333333333333,8.66666666666667,8,2.66666666666667,10,3.33333333333333,46,15.3333333333333,1,0.333333333333333,10,3.33333333333333
burritos,bottom4,4,60.1632,61.4232327316473,102.186145884645,244,144,61.0,36.0,105,237,0.443037974683544,26.25,59.25,21,59,0.355932203389831,5.25,14.75,84,178,0.471910112359551,21.0,44.5,13,22,0.590909090909091,3.25,5.5,42,113,108,10.5,28.25,27.0,68,17.0,40,10.0,46,11.5,4,1.0,14,3.5
burritos,top4,2,53.6256,57.7070511176647,83.8488908834466,90,62,45.0,31.0,31,94,0.329787234042553,15.5,47.0,4,23,0.173913043478261,2.0,11.5,27,71,0.380281690140845,13.5,35.5,24,38,0.631578947368421,12.0,19.0,15,47,62,7.5,23.5,31.0,17,8.5,21,10.5,16,8.0,0,0.0,12,6.0
camdenhells,bottom4,2,55.0464,46.3674449279171,88.1573373065704,97,51,48.5,25.5,45,117,0.384615384615385,22.5,58.5,1,9,0.111111111111111,0.5,4.5,44,108,0.407407407407407,22.0,54.0,6,22,0.272727272727273,3.0,11.0,34,58,50,17.0,29.0,25.0,18,9.0,17,8.5,22,11.0,7,3.5,9,4.5
camdenhells,top4,3,53.1712,92.8670898933296,66.1058964818453,104,152,34.6666666666667,50.6666666666667,46,147,0.312925170068027,15.3333333333333,49.0,3,21,0.142857142857143,1.0,7.0,43,126,0.341269841269841,14.3333333333333,42.0,9,14,0.642857142857143,3.0,4.66666666666667,19,56,24,6.33333333333333,18.6666666666667,8.0,24,8.0,15,5.0,32,10.6666666666667,6,2.0,15,5.0
dropbears,bottom4,1,55.9488,71.4939373141158,82.2180279112331,46,40,46.0,40.0,17,50,0.34,17.0,50.0,5,15,0.333333333333333,5.0,15.0,12,35,0.342857142857143,12.0,35.0,7,12,0.583333333333333,7.0,12.0,10,18,28,10.0,18.0,28.0,9,9.0,14,14.0,13,13.0,3,3.0,9,9.0
dropbears,top4,4,51.4656,85.1140831356603,61.880904422049,126,174,31.5,43.5,47,181,0.259668508287293,11.75,45.25,13,48,0.270833333333333,3.25,12.0,34,133,0.255639097744361,8.5,33.25,19,26,0.730769230769231,4.75,6.5,26,78,64,6.5,19.5,16.0,16,4.0,26,6.5,48,12.0,7,1.75,36,9.0
greenmachine,bottom4,2,62.2656,66.0875326611554,56.1607594239654,70,82,35.0,41.0,32,98,0.326530612244898,16.0,49.0,2,13,0.153846153846154,1.0,6.5,30,85,0.352941176470588,15.0,42.5,4,13,0.307692307692308,2.0,6.5,10,51,33,5.0,25.5,16.5,19,9.5,19,9.5,36,18.0,6,3.0,17,8.5
greenmachine,top4,3,52.2624,94.792982031186,49.8728959359361,77,145,25.6666666666667,48.3333333333333,32,116,0.275862068965517,10.6666666666667,38.6666666666667,5,23,0.217391304347826,1.66666666666667,7.66666666666667,27,93,0.290322580645161,9.0,31.0,8,28,0.285714285714286,2.66666666666667,9.33333333333333,17,45,53,5.66666666666667,15.0,17.6666666666667,13,4.33333333333333,27,9.0,52,17.3333333333333,6,2.0,22,7.33333333333333
