player_id,team_id,games_with,games_without,defensive_eff_improv,offensive_eff_improv,possessions_increase
camdenhells-levent,camdenhells,2.00,3.00,33.80,12.54,-6.19
rockets-malachi,camdenhells,2.00,3.00,33.80,12.54,-6.19
burritos-wouter,burritos,4.00,2.00,31.60,-12.64,1.09
lions-mychelle,bbcballers,2.00,3.00,29.79,3.45,4.18
greenmachine-andris,greenmachine,2.00,3.00,28.71,6.29,10.00
rockets-paul,rockets,3.00,3.00,19.32,4.15,1.54
rockets-janis,rockets,3.00,3.00,19.32,4.15,1.54
greenmachine-victoria,greenmachine,3.00,2.00,18.65,-5.84,10.19
lostangels-carlotta,lostangels,5.00,2.00,17.87,9.50,-2.49
lions-saulius,lions,3.00,3.00,17.70,22.46,7.35
rockets-malachi,rockets,3.00,2.00,17.52,16.98,-4.72
greenmachine-itai,greenmachine,2.00,3.00,14.50,29.11,9.20
rockets-alex,rockets,4.00,2.00,12.29,-5.15,0.46
rockets-marc,rockets,4.00,2.00,11.99,11.35,-4.75
bbcballers-amir,bbcballers,2.00,4.00,9.97,7.94,6.65
lions-mychelle,lions,4.00,2.00,9.68,8.34,5.09
greenmachine-ahmed,greenmachine,2.00,3.00,9.06,27.98,1.56
lostangels-john,lostangels,3.00,4.00,8.14,0.01,0.06
dropbears-mary,dropbears,3.00,2.00,7.26,-3.05,9.09
dropbears-ed,dropbears,3.00,2.00,7.26,-3.05,9.09
dropbears-ray,dropbears,3.00,2.00,7.26,-3.05,9.09
bbcballers-lisa,bbcballers,4.00,2.00,6.96,18.60,6.48
bbcballers-suhail,bbcballers,4.00,2.00,6.96,18.60,6.48
lions-alfie,lions,2.00,4.00,4.41,-2.40,4.01
rockets-darnell,rockets,3.00,3.00,3.99,17.72,-0.33
lions-telle,lions,3.00,3.00,-0.52,10.16,0.18
lions-mychelle,dropbears,2.00,3.00,-1.82,-16.61,6.11
dropbears-hayley,dropbears,2.00,3.00,-1.82,-16.61,6.11
dropbears-martin,dropbears,2.00,3.00,-1.82,-16.61,6.11
bbcballers-arthur,bbcballers,3.00,3.00,-2.06,13.19,6.60
bbcballers-james,bbcballers,3.00,3.00,-2.06,13.19,6.60
rockets-daisy,rockets,2.00,4.00,-2.63,13.31,-3.43
lostangels-sophie,lostangels,5.00,2.00,-5.17,-6.26,-3.32
camdenhells-davidgalindo,camdenhells,3.00,2.00,-5.55,15.69,-2.42
rockets-anna,camdenhells,3.00,2.00,-5.55,15.69,-2.42
lostangels-carlos,lostangels,5.00,2.00,-7.12,-0.64,-0.96
burritos-stuart,burritos,4.00,2.00,-9.41,-5.73,3.72
bbcballers-saulius,bbcballers,2.00,4.00,-10.98,16.75,-2.79
lions-kata,lions,4.00,2.00,-11.68,-18.64,-0.04
camdenhells-lauren,lions,2.00,4.00,-12.87,10.74,1.08
camdenhells-lauren,camdenhells,2.00,3.00,-13.33,10.96,5.30
rockets-patricia,rockets,4.00,2.00,-14.47,7.90,-2.28
rockets-thriston,rockets,4.00,2.00,-14.47,7.90,-2.28
burritos-suzi,burritos,3.00,3.00,-15.93,4.81,-3.33
lions-foley,lions,2.00,4.00,-16.09,-16.24,-4.05
lions-gus,lions,3.00,3.00,-16.65,10.16,0.18
saturdays-claire,lostangels,2.00,5.00,-17.87,-9.50,2.49
lions-diego,lions,3.00,3.00,-21.30,-17.19,0.74
camdenhells-sean,camdenhells,2.00,3.00,-31.57,7.89,-3.95
burritos-sylwia,burritos,4.00,2.00,-32.05,24.83,-3.57
lostangels-sophie,camdenhells,2.00,2.00,-46.84,-8.50,-3.49
