id,name,first_day,last_day,ext_url
1,Autumn 2014,2014-11-06,2015-01-08,https://gomammoth.spawtz.com/External/Fixtures/Standings.aspx?LeagueId=505&SeasonId=55&DivisionId=
2,Winter 2015,2015-01-29,2015-03-26,https://gomammoth.spawtz.com/External/Fixtures/Standings.aspx?LeagueId=505&SeasonId=59&DivisionId=
3,Spring 2015,2015-04-16,2015-06-11,https://gomammoth.spawtz.com/External/Fixtures/Standings.aspx?LeagueId=505&SeasonId=62&DivisionId=
4,Summer 2015,2015-07-02,2015-08-27,https://gomammoth.spawtz.com/External/Fixtures/Standings.aspx?LeagueId=505&SeasonId=70&DivisionId=
5,Autumn 2015,2015-09-10,2015-11-05,https://gomammoth.spawtz.com/External/Fixtures/Standings.aspx?LeagueId=505&SeasonId=73&DivisionId=
6,Late Autumn 2015,2015-11-19,2016-01-28,https://gomammoth.spawtz.com/External/Fixtures/Standings.aspx?LeagueId=505&SeasonId=79&DivisionId=
7,Winter 2016,2016-02-11,2016-04-07,https://gomammoth.spawtz.com/External/Fixtures/Standings.aspx?LeagueId=505&SeasonId=85&DivisionId=
8,Spring 2016,2016-04-21,2016-06-30,https://gomammoth.spawtz.com/External/Fixtures/Standings.aspx?LeagueId=505&SeasonId=80&DivisionId=
9,Summer 2016,2016-07-14,2016-09-08,https://gomammoth.spawtz.com/External/Fixtures/Standings.aspx?LeagueId=505&SeasonId=86&DivisionId=
10,Autumn 2016,2016-09-22,2016-11-17,https://gomammoth.spawtz.com/External/Fixtures/Standings.aspx?LeagueId=505&SeasonId=96&DivisionId=
11,Late Autumn 2016,2016-12-01,2017-02-16,https://gomammoth.spawtz.com/External/Fixtures/Standings.aspx?LeagueId=505&SeasonId=98&DivisionId=931
12,Winter 2017,2017-02-23,2017-04-20,https://gomammoth.spawtz.com/External/Fixtures/Standings.aspx?LeagueId=505&SeasonId=100&DivisionId=1138
13,Spring 2017,2017-05-04,2017-06-29,https://gomammoth.spawtz.com/External/Fixtures/Standings.aspx?LeagueId=505&SeasonId=101&DivisionId=1300
14,Summer 2017,2017-07-06,2017-08-31,https://gomammoth.spawtz.com/External/Fixtures/Standings.aspx?LeagueId=505&SeasonId=102&DivisionId=1597
15,Autumn 2017,2017-09-14,2017-11-09,https://gomammoth.spawtz.com/External/Fixtures/Standings.aspx?LeagueId=505&SeasonId=104&DivisionId=1763
16,Late Autumn 2017,2017-11-16,2018-01-25,https://gomammoth.spawtz.com/External/Fixtures/Standings.aspx?LeagueId=505&SeasonId=105&DivisionId=1964
17,Winter 2018,2018-02-01,2018-03-29,https://gomammoth.spawtz.com/External/Fixtures/Standings.aspx?LeagueId=505&SeasonId=107&DivisionId=2188
18,Spring 2018,2018-04-05,2018-06-07,https://gomammoth.spawtz.com/External/Fixtures/Standings.aspx?LeagueId=505&SeasonId=108&DivisionId=2394
19,Summer 2018,2018-06-14,2018-08-02,https://gomammoth.spawtz.com/External/Fixtures/Standings.aspx?LeagueId=505&SeasonId=109&DivisionId=2583
20,Late Summer 18,2018-08-09,2018-10-25,https://gomammoth.spawtz.com/External/Fixtures/Standings.aspx?LeagueId=505&SeasonId=110&DivisionId=2851
21,Late Autumn 2018,2018-11-01,2019-01-24,https://gomammoth.spawtz.com/External/Fixtures/Standings.aspx?LeagueId=505&SeasonId=112&DivisionId=2968
22,Winter 2019,2019-01-31,2019-04-18,https://gomammoth.spawtz.com/External/Fixtures/Standings.aspx?LeagueId=505&SeasonId=113&DivisionId=3333
23,Spring 2019,2019-05-02,2019-07-18,https://gomammoth.spawtz.com/External/Fixtures/Standings.aspx?LeagueId=505&SeasonId=114&DivisionId=3568
24,Summer 2019,2019-07-25,2019-10-10,https://gomammoth.spawtz.com/External/Fixtures/Standings.aspx?LeagueId=505&SeasonId=115&DivisionId=3920
25,Autumn 2019,2019-10-17,2020-01-16,https://gomammoth.spawtz.com/External/Fixtures/Standings.aspx?LeagueId=505&SeasonId=118&DivisionId=4144
26,Winter 2020,2020-01-23,2020-04-09,https://gomammoth.spawtz.com/External/Fixtures/Standings.aspx?LeagueId=505&SeasonId=120&DivisionId=4520
