season_id,team_id,franchise_id,name
55,2716,1,Supernova
55,3771,2,"Upper Street Ballers"
55,3770,3,"E=MC SWISH"
55,3835,4,Pentonville Pacers
59,2716,1,Supernova
59,4232,5,London Bulls
59,3771,2,"Upper Street Ballers"
59,3770,3,"E=MC SWISH"
59,4202,6,Euston Rockets
59,4189,7,Islington Devils
62,4611,6,Swish
62,2716,1,Supernova
62,3770,3,"E=MC SWISH"
62,3771,2,"Upper Street Ballers"
62,4534,8,Shoreditch Shooters
62,4232,5,London Bulls
62,4626,9,N1 JAM
70,2716,1,Supernova
70,3770,3,"E=MC SWISH"
70,4611,6,Swish
70,4896,10,Lost Angel Lakers
70,4949,11,"Beers, Burritos & Basketball"
70,5078,5,Iguanas
70,5015,12,Old Street Ocelots
73,3770,3,"E=MC SWISH"
73,4611,6,Swish
73,4896,10,Los Angels
73,4949,11,"Beers, Burritos & Basketball"
73,5078,5,Iguanas
73,5015,12,Old Street Ocelots
73,5425,13,Markit
79,3770,3,"E=MC SWISH"
79,4896,10,Los Angels
79,4611,6,Rockets
79,4949,11,"Beers, Burritos & Basketball"
79,5015,12,Old Street Ocelots
79,5078,5,Iguanas
79,5425,13,Markit
85,3770,3,Camden Hells
85,4949,11,"Beers, Burritos & Basketball"
85,5078,14,RELOADED
85,4611,6,Rockets
85,5425,13,Markit
85,5015,5,"Ocelots & Iguanas"
85,4896,10,New Angels
80,5078,14,RELOADED
80,4611,6,Rockets
80,4949,11,"Beers, Burritos & Basketball"
80,4896,10,New Angels
80,3770,3,Camden Hells
80,5015,5,"Ocelots & Iguanas"
80,5425,13,Markit
86,4896,10,Lost Angels
86,4611,6,Rockets
86,3770,3,Camden Hells
86,5078,14,RELOADED
86,5015,5,Ocelots
86,5425,13,Markit
86,4949,11,"Beers, Burritos & Basketball"
96,4896,10,Lost Angels
96,5078,14,RELOADED
96,4949,11,"Beers, Burritos & Basketball"
96,4611,6,Rockets
96,3770,3,Camden Hells
96,5015,5,Ocelots
96,5425,13,Markit
98,4896,10,Lost Angels
98,4611,6,Rockets
98,9047,15,"Alley-Oops!"
98,4949,11,Burritos
98,5078,14,RELOADED
98,3770,3,Camden Hells
98,5015,5,Ocelots
100,5078,14,RELOADED
100,4611,6,Rockets
100,4949,11,Burritos
100,4896,10,Lost Angels
100,9047,15,"Alley-Oops!"
100,5015,5,Ocelots
100,5425,13,Markit
101,5078,14,RELOADED
101,4949,11,Burritos
101,4611,6,Rockets
101,4896,10,Lost Angels
101,3770,3,Camden Hells
101,5015,5,Ocelots
101,5425,13,Markit
102,4611,6,Rockets
102,4949,11,Burritos
102,5078,14,RELOADED
102,9047,15,"Alley-Oops!"
102,4896,10,Lost Angels
102,5015,5,Ocelots
102,5425,13,"U.N.B.A."
104,5078,14,RELOADED
104,4896,10,Lost Angels
104,4949,11,Burritos
104,5015,5,Old Street Ocelots
104,4611,6,Rockets
104,9046,15,Alley-Oops
104,5425,13,"U.N.B.A."
104,10731,16,Halo Hoops
105,4896,10,Lost Angels
105,4611,6,Rockets
105,10731,16,Halo Hoops
105,5425,13,"U.N.B.A."
105,9046,15,Islington Ballers
105,5078,14,RELOADED
105,4949,11,Burritos
105,5015,5,Old Street Ocelots
107,4611,6,Rockets
107,5015,5,Old Street Ocelots
107,5078,14,RELOADED
107,5425,13,"U.N.B.A."
107,11360,17,Amazon Warriors
107,11379,18,Dropbears
107,4896,10,Lost Angels
107,4949,11,Burritos
108,4611,6,Rockets
108,12016,3,Camden Hells
108,4896,10,Lost Angels
108,4949,11,Burritos
108,5078,14,RELOADED
108,5015,5,Old Street Ocelots
108,5425,13,U.N.B.A
108,11379,18,Dropbears
109,4896,10,Lost Angels
109,4611,6,Rockets
109,11379,18,Dropbears
109,12016,3,Camden Hells
109,5015,5,Old Street Ocelots
109,5078,14,RELOADED
109,4949,11,Burritos
109,5425,13,U.N.B.A
110,4896,10,Lost Angels
110,12016,3,Camden Hells
110,4949,11,Burritos
110,5425,13,Green Machine
110,11379,18,Dropbears
110,5078,14,GAME OVEN
110,12925,20,Lions
110,12924,19,Net Rippers
112,4896,10,Lost Angels
112,4611,6,Rockets
112,11379,18,Dropbears
112,12016,3,Camden Hells
112,4949,11,Burritos
112,5425,13,Green Machine
112,12925,20,Lions
112,13384,21,"Michelle Blow's Team"
113,4949,11,Burritos
113,4611,6,Rockets
113,11379,18,Dropbears
113,12016,3,Camden Hells
113,4896,10,Lost Angels
113,5425,13,Green Machine
113,12925,20,Lions
113,14089,22,BBC Ballers
114,4949,11,Burritos
114,4896,10,Lost Angels
114,14388,23,Cyborgs
114,4611,6,Rockets
114,12925,20,Lions
114,14721,24,Backslashes
114,5425,13,Green Machine
114,11379,18,Dropbears
115,5425,13,Green Machine
115,4949,11,Burritos
115,4896,10,Lost Angels
115,4611,6,Rockets
115,14089,22,BBC Ballers
115,11379,18,Dropbears
115,12925,20,Lions
115,12016,3,Camden Hells
118,5425,13,Green Machine
118,4949,11,Burritos
118,4896,10,Lost Angels
118,4611,6,Rockets
118,15861,25,Hot Shots
118,15731,26,North London Lions
118,12925,20,Lions
118,12016,3,Camden Hells
