id,scheduled_time,home_team_id,away_team_id,season_id
20190725-1845-bbcballers-rockets,2019-07-25 18:45:00,bbcballers,rockets,24
20190725-1930-burritos-lostangels,2019-07-25 19:30:00,burritos,lostangels,24
20190725-2015-camdenhells-lions,2019-07-25 20:15:00,camdenhells,lions,24
20190725-2100-dropbears-greenmachine,2019-07-25 21:00:00,dropbears,greenmachine,24
20190801-1845-greenmachine-lions,2019-08-01 18:45:00,greenmachine,lions,24
20190801-1930-dropbears-lostangels,2019-08-01 19:30:00,dropbears,lostangels,24
20190801-2015-camdenhells-rockets,2019-08-01 20:15:00,camdenhells,rockets,24
20190801-2100-bbcballers-burritos,2019-08-01 21:00:00,bbcballers,burritos,24
20190808-1845-dropbears-burritos,2019-08-08 18:45:00,dropbears,burritos,24
20190808-1930-bbcballers-camdenhells,2019-08-08 19:30:00,bbcballers,camdenhells,24
20190808-2015-greenmachine-rockets,2019-08-08 20:15:00,greenmachine,rockets,24
20190808-2100-lions-lostangels,2019-08-08 21:00:00,lions,lostangels,24
20190815-1845-greenmachine-camdenhells,2019-08-15 18:45:00,greenmachine,camdenhells,24
20190815-1930-lions-burritos,2019-08-15 19:30:00,lions,burritos,24
20190815-2015-lostangels-rockets,2019-08-15 20:15:00,lostangels,rockets,24
20190815-2100-bbcballers-dropbears,2019-08-15 21:00:00,bbcballers,dropbears,24
20190822-1845-lions-dropbears,2019-08-22 18:45:00,lions,dropbears,24
20190822-1930-bbcballers-greenmachine,2019-08-22 19:30:00,bbcballers,greenmachine,24
20190822-2015-lostangels-camdenhells,2019-08-22 20:15:00,lostangels,camdenhells,24
20190822-2100-rockets-burritos,2019-08-22 21:00:00,rockets,burritos,24
20190829-1845-rockets-dropbears,2019-08-29 18:45:00,rockets,dropbears,24
20190829-1930-lostangels-greenmachine,2019-08-29 19:30:00,lostangels,greenmachine,24
20190829-2015-burritos-camdenhells,2019-08-29 20:15:00,burritos,camdenhells,24
20190829-2100-bbcballers-lions,2019-08-29 21:00:00,bbcballers,lions,24
20190905-1845-bbcballers-lostangels,2019-09-05 18:45:00,bbcballers,lostangels,24
20190905-1930-rockets-lions,2019-09-05 19:30:00,rockets,lions,24
20190905-2015-burritos-greenmachine,2019-09-05 20:15:00,burritos,greenmachine,24
20190905-2100-camdenhells-dropbears,2019-09-05 21:00:00,camdenhells,dropbears,24
20190912-1845-lostangels-burritos,2019-09-12 18:45:00,lostangels,burritos,24
20190912-1930-lions-camdenhells,2019-09-12 19:30:00,lions,camdenhells,24
20190912-2015-rockets-bbcballers,2019-09-12 20:15:00,rockets,bbcballers,24
20190912-2100-greenmachine-dropbears,2019-09-12 21:00:00,greenmachine,dropbears,24
20190919-1845-burritos-bbcballers,2019-09-19 18:45:00,burritos,bbcballers,24
20190919-1930-rockets-camdenhells,2019-09-19 19:30:00,rockets,camdenhells,24
20190919-2015-lostangels-dropbears,2019-09-19 20:15:00,lostangels,dropbears,24
20190919-2100-lions-greenmachine,2019-09-19 21:00:00,lions,greenmachine,24
20190926-1845-rockets-greenmachine,2019-09-26 18:45:00,rockets,greenmachine,24
20190926-1930-camdenhells-bbcballers,2019-09-26 19:30:00,camdenhells,bbcballers,24
20190926-2015-burritos-dropbears,2019-09-26 20:15:00,burritos,dropbears,24
20190926-2100-lostangels-lions,2019-09-26 21:00:00,lostangels,lions,24
20191003-1845-burritos-rockets,2019-10-03 18:45:00,burritos,rockets,24
20191003-1930-lostangels-dropbears,2019-10-03 19:30:00,lostangels,dropbears,24
20191003-2015-camdenhells-greenmachine,2019-10-03 20:15:00,camdenhells,greenmachine,24
20191003-2100-lions-bbcballers,2019-10-03 21:00:00,lions,bbcballers,24
20191010-1845-greenmachine-bbcballers,2019-10-10 18:45:00,greenmachine,bbcballers,24
20191010-1930-camdenhells-lions,2019-10-10 19:30:00,camdenhells,lions,24
20191010-2015-rockets-dropbears,2019-10-10 20:15:00,rockets,dropbears,24
20191010-2100-burritos-lostangels,2019-10-10 21:00:00,burritos,lostangels,24
