game_id,team_id,player_id,side_id,opp_team_id,game_version,pts,fgm,fga,fgperc,twoptm,twopta,twoptperc,threeptm,threepta,threeptperc,ftm,fta,ftperc,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,sfc,nsfc,fd,sfd,nsfd,pir,plus_minus_pts,seconds_played,plus_minus_reb,plus_minus_ast,plus_minus_stl,plus_minus_tov,plus_minus_fc,outcome
20191017-1930-burritos-northlondonlions,burritos,burritos-alex,0,northlondonlions,4660,6,3,4,75.0,3,4,75.0,0,0,0,0,0,0,3,6,9,3,1,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,w
20191017-1930-burritos-northlondonlions,burritos,burritos-armelle,0,northlondonlions,4660,0,0,2,0,0,2,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,w
20191017-1930-burritos-northlondonlions,burritos,burritos-suzi,0,northlondonlions,4660,0,0,4,0,0,3,0,0,1,0,0,0,0,2,0,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,w
20191017-1930-burritos-northlondonlions,burritos,burritos-sylwia,0,northlondonlions,4660,7,3,9,33.3,3,9,33.3,0,0,0,1,2,50.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,w
20191017-1930-burritos-northlondonlions,burritos,burritos-wouter,0,northlondonlions,4660,23,10,13,76.9,10,13,76.9,0,0,0,3,7,42.9,2,9,11,2,2,0,3,0,3,2,1,0,0,0,27,0,0,0,0,0,0,0,w
20191017-1930-burritos-northlondonlions,burritos,burritos-tom,0,northlondonlions,4660,5,2,5,40.0,1,1,100.0,1,4,25.0,0,0,0,0,7,7,7,4,2,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,w
20191017-1930-burritos-northlondonlions,burritos,dropbears-mary,0,northlondonlions,4660,9,4,7,57.1,4,7,57.1,0,0,0,1,1,100.0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,w
20191017-1930-burritos-northlondonlions,northlondonlions,northlondonlions-tanky,1,burritos,4660,13,5,15,33.3,4,10,40.0,1,5,20.0,2,2,100.0,2,5,7,2,2,0,0,0,3,3,0,0,0,0,7,0,0,0,0,0,0,0,d
20191017-1930-burritos-northlondonlions,northlondonlions,northlondonlions-banksy,1,burritos,4660,5,2,5,40.0,1,4,25.0,1,1,100.0,0,0,0,1,1,2,1,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,d
20191017-1930-burritos-northlondonlions,northlondonlions,northlondonlions-luke,1,burritos,4660,3,1,11,9.1,0,6,0,1,5,20.0,0,0,0,2,3,5,3,2,3,0,0,3,2,1,0,0,0,-1,0,0,0,0,0,0,0,d
20191017-1930-burritos-northlondonlions,northlondonlions,northlondonlions-kylie,1,burritos,4660,0,0,3,0,0,2,0,0,1,0,0,0,0,0,1,1,2,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,d
20191017-1930-burritos-northlondonlions,northlondonlions,northlondonlions-kat,1,burritos,4660,2,1,4,25.0,1,4,25.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,-2,0,0,0,0,0,0,0,d
20191017-1930-burritos-northlondonlions,northlondonlions,northlondonlions-kia,1,burritos,4660,6,3,9,33.3,3,9,33.3,0,0,0,0,2,0,2,1,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d
20191017-2015-camdenhells-lostangels,camdenhells,camdenhells-sean,0,lostangels,4660,8,3,6,50.0,3,6,50.0,0,0,0,2,2,100.0,0,1,1,2,1,1,0,0,1,0,1,0,0,0,7,-22,0,-12,-9,3,-2,-2,d
20191017-2015-camdenhells-lostangels,camdenhells,kissmygrass-steph,0,lostangels,4660,2,1,4,25.0,1,3,33.3,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2,-22,0,-12,-9,3,-2,-2,d
20191017-2015-camdenhells-lostangels,camdenhells,lostangels-rob,0,lostangels,4660,15,7,20,35.0,7,14,50.0,0,6,0,1,2,50.0,1,4,5,0,2,1,1,0,1,1,0,0,0,0,5,-22,0,-12,-9,3,-2,-2,d
20191017-2015-camdenhells-lostangels,camdenhells,greenmachine-ahmed,0,lostangels,4660,5,2,13,15.4,1,5,20.0,1,8,12.5,0,0,0,1,7,8,2,2,1,3,0,1,0,1,0,0,0,5,-22,0,-12,-9,3,-2,-2,d
20191017-2015-camdenhells-lostangels,camdenhells,camdenhells-jess,0,lostangels,4660,0,0,4,0,0,2,0,0,2,0,0,0,0,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,-22,0,-12,-9,3,-2,-2,d
20191017-2015-camdenhells-lostangels,camdenhells,lions-kata,0,lostangels,4660,4,2,6,33.3,2,5,40.0,0,1,0,0,0,0,1,3,4,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,d
20191017-2015-camdenhells-lostangels,camdenhells,greenmachine-basel,0,lostangels,4660,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,d
20191017-2015-camdenhells-lostangels,lostangels,lostangels-aldis,1,camdenhells,4660,17,7,20,35.0,4,9,44.4,3,11,27.3,0,0,0,2,9,11,4,3,0,0,0,2,0,2,0,0,0,14,22,0,12,9,-3,2,2,w
20191017-2015-camdenhells-lostangels,lostangels,lostangels-daria,1,camdenhells,4660,9,3,9,33.3,0,0,0,3,9,33.3,0,0,0,0,3,3,1,0,1,0,0,0,0,0,0,0,0,8,22,0,12,9,-3,2,2,w
20191017-2015-camdenhells-lostangels,lostangels,lostangels-jazeps,1,camdenhells,4660,14,7,14,50.0,7,12,58.3,0,2,0,0,0,0,2,2,4,5,2,0,0,0,0,0,0,0,0,0,14,22,0,12,9,-3,2,2,w
20191017-2015-camdenhells-lostangels,lostangels,lostangels-rolands,1,camdenhells,4660,10,3,7,42.9,2,5,40.0,1,2,50.0,3,3,100.0,4,11,15,4,2,1,2,0,3,2,1,0,0,0,23,22,0,12,9,-3,2,2,w
20191017-2015-camdenhells-lostangels,lostangels,lostangels-sophie,1,camdenhells,4660,6,3,6,50.0,3,4,75.0,0,2,0,0,0,0,1,3,4,3,1,0,1,0,0,0,0,0,0,0,10,22,0,12,9,-3,2,2,w
20191017-2100-greenmachine-lions,greenmachine,greenmachine-ahmed,0,lions,4660,7,2,8,25.0,1,3,33.3,1,5,20.0,2,5,40.0,1,1,2,1,3,1,0,0,1,1,0,0,0,0,-2,0,0,0,0,0,0,0,d
