season_id,game_id,game_version,side_id,team_id,num_players,opp_team_id,opp_num_players,outcome,pts,fgm,fga,fgperc,efgperc,twoptm,twopta,twoptperc,threeptm,threepta,threeptperc,ftm,fta,ftperc,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,sfc,nsfc,fd,sfd,nsfd,pir,opp_pts,opp_fgm,opp_fga,opp_fgperc,opp_efgperc,opp_twoptm,opp_twopta,opp_twoptperc,opp_threeptm,opp_threepta,opp_threeptperc,opp_ftm,opp_fta,opp_ftperc,opp_oreb,opp_dreb,opp_reb,opp_ast,opp_tov,opp_stl,opp_blk,opp_blka,opp_fc,opp_sfc,opp_nsfc,opp_fd,opp_sfd,opp_nsfd,opp_pir,poss,opp_poss,passes,opp_passes,dribbles,opp_dribbles,second_chance_pts,opp_second_chance_pts,pts_off_tov,opp_pts_off_tov,true_fga,opp_true_fga,true_threepta,opp_true_threepta,players_involved,opp_players_involved,poss_with_tfga,opp_poss_with_tfga,avg_passes,avg_passes_with_tfga,avg_players_involved,avg_players_involved_with_tfga,opp_avg_passes,opp_avg_passes_tfga,opp_avg_players_involved,opp_avg_players_involved_with_tfga,avg_pts_with_1p,avg_pts_with_2p,avg_pts_with_3p,avg_pts_with_4p,avg_pts_with_5p
25,20191017-1930-burritos-northlondonlions,4660,0,burritos,7,northlondonlions,6,w,50,22,44,50.0,51.1,21,39,53.8,1,5,20.0,5,10,50.0,9,27,36,14,7,5,3,0,4,2,2,0,0,0,70,29,12,47,25.5,28.7,9,35,25.7,3,12,25.0,2,4,50.0,7,11,18,9,8,7,0,0,8,7,1,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,20191017-1930-burritos-northlondonlions,4660,1,northlondonlions,6,burritos,7,d,29,12,47,25.5,28.7,9,35,25.7,3,12,25.0,2,4,50.0,7,11,18,9,8,7,0,0,8,7,1,0,0,0,10,50,22,44,50.0,51.1,21,39,53.8,1,5,20.0,5,10,50.0,9,27,36,14,7,5,3,0,4,2,2,0,0,0,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,20191017-2015-camdenhells-lostangels,4660,0,camdenhells,7,lostangels,5,d,34,15,54,27.8,28.7,14,36,38.9,1,18,5.6,3,4,75.0,5,20,25,8,6,5,4,0,3,1,2,0,0,0,27,56,23,56,41.1,47.3,16,30,53.3,7,26,26.9,3,3,100.0,9,28,37,17,8,2,3,0,5,2,3,0,0,0,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,20191017-2015-camdenhells-lostangels,4660,1,lostangels,5,camdenhells,7,w,56,23,56,41.1,47.3,16,30,53.3,7,26,26.9,3,3,100.0,9,28,37,17,8,2,3,0,5,2,3,0,0,0,69,34,15,54,27.8,28.7,14,36,38.9,1,18,5.6,3,4,75.0,5,20,25,8,6,5,4,0,3,1,2,0,0,0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,20191017-2100-greenmachine-lions,4660,0,greenmachine,7,lions,6,d,34,13,44,29.5,31.8,11,31,35.5,2,13,15.4,6,15,40.0,13,18,31,4,9,6,1,0,6,4,2,0,0,0,21,39,15,49,30.6,33.7,12,37,32.4,3,12,25.0,6,9,66.7,17,16,33,8,10,4,0,0,7,4,3,0,0,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,20191017-2100-greenmachine-lions,4660,1,lions,6,greenmachine,7,w,39,15,49,30.6,33.7,12,37,32.4,3,12,25.0,6,9,66.7,17,16,33,8,10,4,0,0,7,4,3,0,0,0,30,34,13,44,29.5,31.8,11,31,35.5,2,13,15.4,6,15,40.0,13,18,31,4,9,6,1,0,6,4,2,0,0,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,20191024-1845-lions-lostangels,5300,0,lions,7,lostangels,5,d,33,14,62,22.6,25.8,10,40,25.0,4,22,18.2,1,6,16.7,10,21,31,9,10,9,0,2,7,3,4,4,3,1,14,61,29,59,49.2,49.2,29,52,55.8,0,7,0,3,5,60.0,10,41,51,17,14,6,2,0,4,3,1,7,3,4,94,66,65,151,170,133,101,7,13,7,19,65,61,22,7,187,193,55,52,2.287878787878788,2.4,2.8333333333333335,2.9454545454545453,2.6153846153846154,2.75,2.9692307692307693,3.019230769230769,0.6190476190476191,0.6341463414634146,0.6538461538461539,0.5333333333333333,0.0
25,20191024-1845-lions-lostangels,5300,1,lostangels,5,lions,7,w,61,29,59,49.2,49.2,29,52,55.8,0,7,0,3,5,60.0,10,41,51,17,14,6,2,0,4,3,1,7,3,4,94,33,14,62,22.6,25.8,10,40,25.0,4,22,18.2,1,6,16.7,10,21,31,9,10,9,0,2,7,3,4,4,3,1,14,65,66,170,151,101,133,13,7,19,7,61,65,7,22,193,187,52,55,2.6153846153846154,2.75,2.9692307692307693,3.019230769230769,2.287878787878788,2.4,2.8333333333333335,2.9454545454545453,1.0,1.0,1.1428571428571428,1.1428571428571428,0.3333333333333333
25,20191024-1930-greenmachine-northlondonlions,5300,0,greenmachine,8,northlondonlions,7,d,42,17,46,37.0,39.1,15,36,41.7,2,10,20.0,6,10,60.0,10,25,35,15,16,4,0,1,8,3,5,11,5,6,49,57,24,61,39.3,44.3,18,34,52.9,6,27,22.2,3,5,60.0,14,20,34,13,9,10,1,0,11,5,6,8,3,5,64,58,58,106,90,93,74,9,19,11,19,51,63,10,27,143,133,43,50,1.8275862068965518,2.1627906976744184,2.4655172413793105,2.7209302325581395,1.5517241379310345,1.74,2.293103448275862,2.48,0.9117647058823529,0.9642857142857143,0.9523809523809523,1.1428571428571428,nan
25,20191024-1930-greenmachine-northlondonlions,5300,1,northlondonlions,7,greenmachine,8,w,57,24,61,39.3,44.3,18,34,52.9,6,27,22.2,3,5,60.0,14,20,34,13,9,10,1,0,11,5,6,8,3,5,64,42,17,46,37.0,39.1,15,36,41.7,2,10,20.0,6,10,60.0,10,25,35,15,16,4,0,1,8,3,5,11,5,6,49,58,58,90,106,74,93,19,9,19,11,63,51,27,10,133,143,50,43,1.5517241379310345,1.74,2.293103448275862,2.48,1.8275862068965518,2.1627906976744184,2.4655172413793105,2.7209302325581395,1.0857142857142856,1.1724137931034482,1.411764705882353,1.8571428571428572,0.0
